step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.17025129586308796,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.38306541569194785,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3771183753644225,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5902659029336734,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.163771412169421,3,3,0.0,0.5366735379263036,10.163771412169421,10.163771412169421,3,0.0,10.163771412169421
30.0,0,0.0,0.0,12.935844522143446,0,0,0.0,0.6832292521208309,12.935844522143446,12.935844522143446,0,0.0,12.935844522143446
35.0,0,0.0,0.0,15.027852565990646,0,0,0.0,0.797840409746528,15.027852565990647,15.027852565990646,0,0.0,15.027852565990647
40.0,2,3.0,0.23076923076923078,9.260130742973526,2,2,3.0,0.5114358993983305,9.260130742973526,9.260130742973526,2,3.0,9.260130742973526
45.0,2,9.0,0.6923076923076923,10.476660405955444,2,2,9.0,0.5928826299941247,11.217689570674617,10.476660405955444,2,9.0,11.217689570674617
50.0,2,19.0,1.1875,7.872317552952143,2,2,17.0,0.40064017149361,7.550564073863816,7.872317552952143,2,17.0,7.550564073863816
55.0,5,41.0,2.5625,8.19945418441887,5,5,41.0,0.41292157067812,7.899509814094993,8.19945418441887,5,41.0,7.899509814094993
60.0,3,39.0,2.4375,9.370594970743838,3,3,39.0,0.4922985960710696,9.634684599432646,9.370594970743838,3,39.0,9.634684599432646
65.0,5,60.0,3.0,7.823664972966429,5,5,47.0,0.39372347443517836,7.461950400950312,7.823664972966429,5,47.0,7.461950400950312
70.0,5,85.0,4.25,9.036815676751905,5,5,85.0,0.4720221700485824,8.703568280186976,9.036815676751905,5,85.0,8.703568280186976
75.0,7,113.0,4.913043478260869,7.1170548503992475,7,7,113.0,0.3418039765877541,6.304624708802929,7.1170548503992475,7,113.0,6.304624708802929
80.0,7,148.0,6.434782608695652,8.504505675738217,7,7,148.0,0.4169465483945866,7.925536112798596,8.504505675738217,7,148.0,7.925536112798596
85.0,10,183.0,7.32,7.0959066407599645,10,10,183.0,0.3415683548490879,6.393273133189416,7.0959066407599645,10,183.0,6.393273133189416
90.0,9,228.0,9.12,7.491025039904016,9,9,228.0,0.38498111580051136,6.994194516804545,7.491025039904016,9,228.0,6.994194516804545
95.0,9,273.0,10.92,7.789032699112788,9,9,273.0,0.40795935728854127,7.412190121151165,7.789032699112788,9,273.0,7.412190121151165
100.0,12,325.0,12.037037037037036,5.427076635145214,12,12,325.0,0.2581114270205236,4.695082651798469,5.427076635145214,12,325.0,4.695082651798469
105.0,9,257.0,9.518518518518519,6.546543888687219,9,9,257.0,0.33527360583652727,6.166973887222678,6.546543888687219,9,257.0,6.166973887222678
110.0,8,265.0,8.833333333333334,6.078372307853921,8,8,216.0,0.2905462319078553,5.352095989594099,6.078372307853921,8,216.0,5.352095989594099
115.0,9,308.0,10.266666666666667,7.187696111415017,9,9,308.0,0.3617265898581437,6.563244557225482,7.187696111415017,9,308.0,6.563244557225482
120.0,9,353.0,11.766666666666667,7.164394140427054,9,9,353.0,0.34495760599060055,6.4026384449458575,7.164394140427054,9,353.0,6.4026384449458575
125.0,11,405.0,11.911764705882353,6.518054181243742,11,11,405.0,0.2626153131681233,5.063883580037807,6.518054181243742,11,405.0,5.063883580037807
130.0,11,460.0,14.838709677419354,7.076407941230223,11,11,460.0,0.30680163125796217,5.787509849917878,7.076407941230223,11,460.0,5.787509849917878
135.0,12,519.0,15.727272727272727,6.631502085855,12,12,519.0,0.2738420506954708,5.149887094478426,6.631502085855,12,519.0,5.149887094478426
140.0,13,582.0,17.636363636363637,7.104097410943613,13,13,582.0,0.28603039916775225,5.579889700870959,7.104097410943613,13,582.0,5.579889700870959
145.0,16,649.0,18.542857142857144,6.87159856354613,16,16,649.0,0.2747228044485632,5.302898710243581,6.87159856354613,16,649.0,5.302898710243581
150.0,12,644.0,18.4,6.952374338468685,12,12,644.0,0.302545159979786,5.7151829852681875,6.952374338468685,12,644.0,5.7151829852681875
155.0,11,696.0,20.470588235294116,7.137308076164896,11,11,663.0,0.3189030248456736,5.8598047605851775,7.137308076164896,11,663.0,5.8598047605851775
160.0,14,759.0,20.513513513513512,6.401076603105024,14,14,759.0,0.26884823049111317,4.7034886593337415,6.401076603105024,14,759.0,4.7034886593337415
165.0,12,487.0,14.323529411764707,6.372314811872574,11,12,486.0,0.28332506182720946,5.153780043774474,6.372314811872574,11,486.0,5.153780043774474
