step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16228193006812236,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3651343426532752,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.359048302195081,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5611750716765448,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.402103306921791,3,3,0.0,0.5257303374991965,10.40210330692179,10.402103306921791,3,0.0,10.40210330692179
30.0,0,0.0,0.0,13.212161538386601,0,0,0.0,0.6688267106959042,13.212161538386601,13.212161538386601,0,0.0,13.212161538386601
35.0,0,0.0,0.0,14.52945154222742,0,0,0.0,0.7422997733791105,14.529451542227424,14.52945154222742,0,0.0,14.529451542227424
40.0,3,5.0,0.38461538461538464,8.51538404993216,3,3,5.0,0.4517469036982954,8.515384049932159,8.51538404993216,3,5.0,8.515384049932159
45.0,3,20.0,1.5384615384615385,10.457093809821412,3,3,20.0,0.5463961463286958,10.581550507366519,10.457093809821412,3,20.0,10.581550507366519
50.0,2,23.0,1.4375,7.179175893827035,2,2,23.0,0.3830667925661819,7.278302460722924,7.179175893827035,2,23.0,7.278302460722924
55.0,4,43.0,2.6875,8.547776526149827,4,4,36.0,0.4571693505570117,8.412922971152371,8.547776526149827,4,36.0,8.412922971152371
60.0,4,63.0,3.9375,9.54607176701662,4,4,63.0,0.5152590351424832,9.477771228076953,9.54607176701662,4,63.0,9.477771228076953
65.0,4,71.0,3.55,7.352887993742144,4,4,71.0,0.3823531271153685,7.363667123894271,7.352887993742144,4,71.0,7.363667123894271
70.0,4,91.0,4.55,9.367582122957492,4,4,81.0,0.489067071962028,9.118676845767059,9.367582122957492,4,81.0,9.118676845767059
75.0,6,113.0,4.913043478260869,8.006690540455958,6,6,113.0,0.40675960837618946,7.361938323813315,8.006690540455958,6,113.0,7.361938323813315
80.0,6,143.0,6.217391304347826,9.014924997820923,6,6,143.0,0.4602887047065076,8.51739533363807,9.014924997820923,6,143.0,8.51739533363807
85.0,9,173.0,6.653846153846154,7.860800933126308,9,9,173.0,0.3779685782643347,6.906899981729028,7.860800933126308,9,173.0,6.906899981729028
90.0,8,211.0,8.44,8.047023929860698,8,8,211.0,0.3802890662920724,7.1284895000606765,8.047023929860698,8,211.0,7.1284895000606765
