step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16072049868559674,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.36162112204259267,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.35573712709044303,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5562778075925647,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.323088312805302,3,3,0.0,0.5156969311924255,10.323088312805302,10.323088312805302,3,0.0,10.323088312805302
30.0,0,0.0,0.0,13.325050350723648,0,0,0.0,0.6723212146934068,13.325050350723648,13.325050350723648,0,0.0,13.325050350723648
35.0,0,0.0,0.0,14.611492028433767,0,0,0.0,0.7483040906638923,14.61149202843377,14.611492028433767,0,0.0,14.61149202843377
40.0,1,2.0,0.15384615384615385,9.4100474211863,1,1,2.0,0.5200580162410801,9.706074802577211,9.4100474211863,1,2.0,9.706074802577211
45.0,2,12.0,0.9230769230769231,11.006721622644797,2,2,12.0,0.6021362722540204,11.299079946760449,11.006721622644797,2,12.0,11.299079946760449
50.0,2,22.0,1.375,8.059266451357438,2,2,22.0,0.4189195642866977,7.509194004160453,8.059266451357438,2,22.0,7.509194004160453
55.0,3,37.0,2.3125,9.06037123148534,3,3,37.0,0.49190245004591443,9.091560154877795,9.06037123148534,3,37.0,9.091560154877795
60.0,3,52.0,3.25,10.875238446064742,3,3,52.0,0.562599132812809,10.647146288456243,10.875238446064742,3,52.0,10.647146288456243
65.0,5,70.0,3.5,7.938100557330249,5,5,70.0,0.3733481739274132,7.24535869173531,7.938100557330249,5,70.0,7.24535869173531
70.0,4,65.0,3.25,9.301845829587084,4,4,65.0,0.4719942624719088,9.231066880309136,9.301845829587084,4,65.0,9.231066880309136
75.0,6,88.0,3.8260869565217392,7.692218512033958,6,6,63.0,0.34845143181410804,6.643647989616506,7.692218512033958,6,63.0,6.643647989616506
80.0,7,123.0,5.3478260869565215,8.836280726099538,7,7,123.0,0.42693828576692205,8.091970720746083,8.836280726099538,7,123.0,8.091970720746083
85.0,8,148.0,6.166666666666667,7.211127502785583,8,8,148.0,0.34660701869388666,6.434955653900547,7.211127502785583,8,148.0,6.434955653900547
90.0,8,187.0,7.791666666666667,7.66404825022704,8,8,182.0,0.3915686580277507,7.055747381490706,7.66404825022704,8,182.0,7.055747381490706
95.0,8,227.0,9.458333333333334,7.789435782287067,8,8,227.0,0.40589591321817975,7.206212419962737,7.789435782287067,8,227.0,7.206212419962737
100.0,10,271.0,10.423076923076923,5.856219250345829,10,10,271.0,0.2802945883944061,5.000654563338447,5.856219250345829,10,271.0,5.000654563338447
105.0,11,325.0,12.5,6.761176112923087,11,11,325.0,0.32180069954744905,5.885222511218861,6.761176112923087,11,325.0,5.885222511218861
110.0,11,380.0,13.571428571428571,5.944721948555249,11,11,380.0,0.2584420175851536,4.855913571278545,5.944721948555249,11,380.0,4.855913571278545
115.0,12,426.0,15.214285714285714,6.2461566160706345,12,12,426.0,0.2706278284283907,5.3356329464488885,6.2461566160706345,12,426.0,5.3356329464488885
120.0,12,486.0,18.0,6.030644026101061,12,12,475.0,0.2753609645371413,5.173954351267654,6.030644026101061,12,475.0,5.173954351267654
125.0,14,555.0,17.903225806451612,5.671721787094987,14,14,555.0,0.2562362028136399,4.781503119257305,5.671721787094987,14,555.0,4.781503119257305
130.0,14,625.0,20.161290322580644,6.205551315320347,14,14,625.0,0.2698574210611951,5.217339636419146,6.205551315320347,14,625.0,5.217339636419146
135.0,16,700.0,21.21212121212121,5.715691435644874,16,16,700.0,0.24314818464760393,4.615915857127207,5.715691435644874,16,700.0,4.615915857127207
140.0,13,584.0,17.696969696969695,6.572436312093717,13,13,584.0,0.2941827579023034,5.699850289989282,6.572436312093717,13,584.0,5.699850289989282
145.0,13,536.0,16.242424242424242,5.289642984422766,13,13,465.0,0.2480059450515965,4.665642192783286,5.289642984422766,13,465.0,4.665642192783286
150.0,11,590.0,17.87878787878788,6.954214593655281,11,11,590.0,0.3400195646427503,6.328668238516666,6.954214593655281,11,590.0,6.328668238516666
155.0,14,651.0,19.727272727272727,6.3195567495601,14,14,651.0,0.2883215729339836,5.331500864061071,6.3195567495601,14,651.0,5.331500864061071
160.0,17,731.0,20.305555555555557,5.784328887750355,17,17,731.0,0.20094131042149307,4.082373360328713,5.784328887750355,17,731.0,4.082373360328713
165.0,17,816.0,22.666666666666668,5.904114022833691,17,17,816.0,0.23854265457818766,4.485645253178292,5.904114022833691,17,816.0,4.485645253178292
