RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,6.53,95.417,0.381,7.046,8.172,3141.811,93.5,1.351,60.85,2564.734,64.44,1.102,61.401,  
2,  testing,6.538,95.545,0.38,7.042,8.172,3141.68,93.547,1.351,60.847,2567.173,64.484,1.104,61.402,  
3,  testing,7.121,107.318,0.364,6.756,7.962,3126.553,96.18,1.344,60.632,2574.48,66.873,1.107,61.267,  
4,  testing,6.577,91.633,0.379,7.037,8.138,3144.106,93.625,1.352,60.812,2572.23,64.842,1.106,61.374,  
5,  testing,7.22,109.183,0.361,6.708,7.93,3124.302,96.588,1.343,60.596,2575.367,67.225,1.107,61.246,  
,min,6.53,91.633,0.361,6.708,7.93,3124.302,93.5,1.343,60.596,2564.734,64.44,1.102,61.246,
,max,7.22,109.183,0.381,7.046,8.172,3144.106,96.588,1.352,60.85,2575.367,67.225,1.107,61.402,
,average,6.7972,99.8192,0.373,6.9178,8.0748,3135.6904,94.688,1.3482,60.7474,2570.7968,65.5728,1.1052,61.338,
,std,0.306814211,7.050883247,0.008648699,0.152489213,0.106377441,8.453958945,1.391348842,0.003867816,0.110326062,4.156831072,1.218447767,0.001939072,0.067625439,
1,  baseline,143,3219.868,0.038,0.704,1.262,2539.314,147.404,1.092,56.33,2503.107,139.887,1.076,56.697,  
2,  baseline,143.65,3234.483,0.038,0.705,1.26,2539.205,147.387,1.092,56.33,2502.833,139.891,1.076,56.696,  
3,  baseline,143.521,3231.695,0.038,0.704,1.26,2539.095,147.399,1.092,56.33,2503.305,139.916,1.076,56.697,  
4,  baseline,143.037,3220.403,0.038,0.704,1.262,2539.066,147.394,1.092,56.33,2503.184,139.885,1.076,56.697,  
5,  baseline,143.085,3221.752,0.038,0.705,1.262,2539.296,147.4,1.092,56.33,2502.992,139.883,1.076,56.697,  
,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
