RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,6.786,124.929,0.371,6.895,8.037,3109.501,93.902,1.337,60.671,2582.598,65.599,1.11,61.275,  
2,  testing,7.424,143.721,0.357,6.637,7.866,3092.947,96.314,1.33,60.504,2583.683,67.598,1.111,61.166,  
3,  testing,8.921,241.36,0.326,6.071,7.422,3040.171,101.152,1.307,60.121,2587.512,72.472,1.112,60.88,  
4,  testing,8.226,209.357,0.34,6.332,7.612,3060.957,98.843,1.316,60.292,2580.592,70.257,1.109,60.998,  
5,  testing,8.595,220.031,0.332,6.183,7.508,3046.985,100.13,1.31,60.195,2583.684,71.457,1.111,60.933,  
,min,6.786,124.929,0.326,6.071,7.422,3040.171,93.902,1.307,60.121,2580.592,65.599,1.109,60.88,
,max,8.921,241.36,0.371,6.895,8.037,3109.501,101.152,1.337,60.671,2587.512,72.472,1.112,61.275,
,average,7.9904,187.8796,0.3452,6.4236,7.689,3070.1122,98.0682,1.32,60.3566,2583.6138,69.4766,1.1106,61.0504,
,std,0.78210654,45.31645267,0.016581918,0.3027749,0.229090375,26.78830409,2.638014284,0.01161034,0.203159642,2.252501046,2.532522426,0.001019804,0.147900778,
1,  baseline,144.193,3244.033,0.038,0.7,1.254,2538.971,147.459,1.091,56.327,2503.803,140.003,1.076,56.693,  
2,  baseline,144.034,3240.569,0.038,0.709,1.265,2540.032,147.373,1.092,56.333,2503.629,139.877,1.076,56.699,  
3,  baseline,144.046,3240.911,0.038,0.709,1.265,2540.131,147.381,1.092,56.335,2504.372,139.894,1.077,56.701,  
4,  baseline,143.948,3238.428,0.038,0.71,1.265,2540.098,147.373,1.092,56.334,2504.01,139.877,1.076,56.7,  
5,  baseline,143.98,3239.376,0.038,0.699,1.254,2538.882,147.46,1.091,56.326,2503.879,140,1.076,56.692,  
,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,
,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,
