RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
5,std,0.03643405,0.835897266,3.47E-18,0.00116619,0.00116619,0.077904044,0.010707007,0,0.000748331,0.217840676,0.012877888,0,0.000894427,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
6,min,6.53,91.633,0.361,6.708,7.93,3124.302,93.5,1.343,60.596,2564.734,64.44,1.102,61.246,
6,max,7.22,109.183,0.381,7.046,8.172,3144.106,96.588,1.352,60.85,2575.367,67.225,1.107,61.402,
6,average,6.7972,99.8192,0.373,6.9178,8.0748,3135.6904,94.688,1.3482,60.7474,2570.7968,65.5728,1.1052,61.338,
6,std,0.306814211,7.050883247,0.008648699,0.152489213,0.106377441,8.453958945,1.391348842,0.003867816,0.110326062,4.156831072,1.218447767,0.001939072,0.067625439,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
6,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
6,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
6,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
6,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
7,min,10.141,193.88,0.276,5.141,6.67,2948.229,104.446,1.267,59.462,2569.677,74.816,1.105,60.352,
7,max,12.147,334.77,0.31,5.754,7.22,3034.033,108.559,1.304,59.971,2573.23,80.118,1.106,60.782,
7,average,11.6938,300.5488,0.2832,5.2694,6.7858,2966.1674,107.6604,1.2748,59.57,2571.6136,78.9596,1.1056,60.443,
7,std,0.777162377,53.68422254,0.013407461,0.242375411,0.217215469,33.94152635,1.608240106,0.014606848,0.200586141,1.397608472,2.073018051,0.000489898,0.169585377,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
7,min,124.038,2837.818,0.04,0.747,1.338,2551.239,147.277,1.097,56.354,2513.393,139.017,1.08,56.739,
7,max,128.991,2951.393,0.042,0.774,1.384,2553.986,147.51,1.098,56.375,2515.079,139.499,1.081,56.771,
7,average,127.0562,2907.5178,0.0408,0.7576,1.3558,2552.2328,147.4114,1.0972,56.3616,2513.9004,139.3042,1.0808,56.7504,
7,std,1.657075303,38.23948027,0.000748331,0.009243376,0.015904716,0.959110922,0.076227554,0.0004,0.007499333,0.609809019,0.16240862,0.0004,0.011534297,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
8,min,2.421,27.99,0.34,6.298,7.602,3035.601,83.871,1.305,60.107,2613.317,57.061,1.123,60.913,
8,max,4.771,297.738,0.423,7.846,8.857,3116.154,99.853,1.34,61.054,2633.775,71.808,1.132,61.701,
8,average,3.3052,123.8186,0.3904,7.2362,8.3764,3085.239,90.119,1.3264,60.6776,2625.2544,62.7154,1.1282,61.3972,
8,std,0.931054542,115.2294483,0.031651856,0.588051834,0.485178153,31.05964284,6.109715051,0.013305638,0.357618008,7.357068971,5.746972859,0.003187475,0.303292202,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
8,min,2.428,28.068,0.397,7.34,8.523,3091.665,84.045,1.329,60.788,2627.236,57.366,1.129,61.508,
8,max,2.896,38.303,0.424,7.838,8.835,3114.217,88.797,1.339,61.098,2636.742,61.031,1.133,61.702,
8,average,2.6592,33.126,0.4106,7.5894,8.6776,3104.5616,86.4374,1.3348,60.9406,2633.4688,59.2036,1.132,61.6026,
8,std,0.17292935,3.765634714,0.009951884,0.183313502,0.115560547,9.425524592,1.761026814,0.004118252,0.113079795,3.277374217,1.357341313,0.001549193,0.071670356,
