RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,12.061,333.234,0.277,5.151,6.68,2948.229,108.4,1.267,59.47,2571.923,79.95,1.106,60.358,  
2,  testing,12.048,321.381,0.277,5.158,6.689,2950.325,108.409,1.268,59.48,2572.905,79.906,1.106,60.368,  
3,  testing,12.147,334.77,0.276,5.141,6.67,2949.734,108.559,1.268,59.462,2573.23,80.118,1.106,60.352,  
4,  testing,12.072,319.479,0.276,5.143,6.67,2948.516,108.488,1.267,59.467,2569.677,80.008,1.105,60.355,  
5,  testing,10.141,193.88,0.31,5.754,7.22,3034.033,104.446,1.304,59.971,2570.333,74.816,1.105,60.782,  
,min,10.141,193.88,0.276,5.141,6.67,2948.229,104.446,1.267,59.462,2569.677,74.816,1.105,60.352,
,max,12.147,334.77,0.31,5.754,7.22,3034.033,108.559,1.304,59.971,2573.23,80.118,1.106,60.782,
,average,11.6938,300.5488,0.2832,5.2694,6.7858,2966.1674,107.6604,1.2748,59.57,2571.6136,78.9596,1.1056,60.443,
,std,0.777162377,53.68422254,0.013407461,0.242375411,0.217215469,33.94152635,1.608240106,0.014606848,0.200586141,1.397608472,2.073018051,0.000489898,0.169585377,
1,  baseline,128.991,2951.393,0.04,0.747,1.338,2551.239,147.51,1.097,56.354,2513.393,139.499,1.08,56.739,  
2,  baseline,127.944,2929.583,0.04,0.751,1.344,2551.765,147.447,1.097,56.355,2513.477,139.408,1.081,56.74,  
3,  baseline,124.038,2837.818,0.042,0.774,1.384,2553.986,147.277,1.098,56.375,2515.079,139.017,1.081,56.771,  
4,  baseline,127.34,2913.536,0.041,0.757,1.354,2551.715,147.412,1.097,56.362,2513.739,139.316,1.081,56.75,  
5,  baseline,126.968,2905.259,0.041,0.759,1.359,2552.459,147.411,1.097,56.362,2513.814,139.281,1.081,56.752,  
,min,124.038,2837.818,0.04,0.747,1.338,2551.239,147.277,1.097,56.354,2513.393,139.017,1.08,56.739,
,max,128.991,2951.393,0.042,0.774,1.384,2553.986,147.51,1.098,56.375,2515.079,139.499,1.081,56.771,
,average,127.0562,2907.5178,0.0408,0.7576,1.3558,2552.2328,147.4114,1.0972,56.3616,2513.9004,139.3042,1.0808,56.7504,
,std,1.657075303,38.23948027,0.000748331,0.009243376,0.015904716,0.959110922,0.076227554,0.0004,0.007499333,0.609809019,0.16240862,0.0004,0.011534297,
