step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.13172237322831853,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.29777332614797986,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.37259882463484345,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.5508016545983009,0,0.0,0.0
25.0,1,0.0,0.0,10.265400888486884,1,0.0,0.5594661115387487,1,0.0,0.0
30.0,0,0.0,0.0,12.582585863344864,0,0.0,0.6824932891388757,0,0.0,0.0
35.0,0,0.0,0.0,12.21735270726398,0,0.0,0.6656161757184447,0,0.0,0.0
40.0,1,2.0,0.09090909090909091,11.024815163779621,1,2.0,0.6179086069228389,1,2.0,-0.02
45.0,4,17.0,0.6296296296296297,10.057080187571366,4,17.0,0.5541682190153433,4,17.0,-0.15000000000000002
50.0,4,27.0,0.9642857142857143,9.307668432775618,4,27.0,0.509078374380898,4,27.0,-0.1
55.0,8,62.0,1.9375,8.921002348459504,8,64.0,0.4712405590929698,8,64.0,-0.37
60.0,11,106.0,3.212121212121212,7.902341014221927,11,106.0,0.41443869546436096,11,106.0,-0.42000000000000004
65.0,10,121.0,3.1842105263157894,7.790096479381667,10,138.0,0.40945650134345457,10,138.0,-0.31999999999999984
70.0,13,176.0,4.512820512820513,7.5735682329280625,13,178.0,0.3890430609362801,13,178.0,-0.40000000000000013
75.0,14,245.0,5.6976744186046515,7.62692919451211,14,245.0,0.39935557606370525,14,245.0,-0.6700000000000002
80.0,15,217.0,4.931818181818182,6.975380134469302,15,281.0,0.34823705637374314,15,281.0,-0.3599999999999999
85.0,12,156.0,3.183673469387755,7.219550202867368,12,281.0,0.3572530090491751,12,281.0,0.0
90.0,9,145.0,2.9591836734693877,6.786683971786295,9,298.0,0.33750211316687295,9,298.0,-0.16999999999999993
95.0,8,82.0,1.5471698113207548,7.037014301154148,8,300.0,0.3351328407274611,8,300.0,-0.020000000000000018
100.0,12,104.0,1.9622641509433962,6.906662384344703,12,291.0,0.33051198487231315,12,291.0,0.08999999999999986
105.0,18,183.0,3.267857142857143,5.997345280601071,18,368.0,0.2871664430690653,18,368.0,-0.77
110.0,25,208.0,3.7142857142857144,5.792208828865869,25,443.0,0.2675316653135878,25,443.0,-0.7499999999999996
115.0,25,313.0,5.131147540983607,5.601520047098768,25,513.0,0.252994426892865,25,513.0,-0.7000000000000002
120.0,27,442.0,7.129032258064516,5.374765963837411,27,631.0,0.23916463465411478,27,631.0,-1.1799999999999997
125.0,29,507.0,7.8,5.411046614458321,29,738.0,0.244534449049573,29,738.0,-1.0700000000000003
130.0,31,639.0,9.681818181818182,5.38588933318247,31,858.0,0.21931715380396807,31,858.0,-1.2000000000000002
135.0,32,790.0,11.617647058823529,5.0751735751445,32,995.0,0.207578818966962,32,995.0,-1.3699999999999992
140.0,35,822.0,12.26865671641791,4.8985499559160415,35,1083.0,0.20665144673259783,35,1083.0,-0.8800000000000008
145.0,32,763.0,10.746478873239436,4.770094686924989,32,1183.0,0.19276040094262886,32,1183.0,-1.0
150.0,31,695.0,9.788732394366198,4.981644257675844,31,1269.0,0.20480759176115468,31,1269.0,-0.8599999999999994
155.0,29,492.0,6.56,4.710737339146335,29,1354.0,0.19637402733023285,29,1354.0,-0.8499999999999996
160.0,28,337.0,4.616438356164384,4.502337096203105,28,1442.0,0.18779845803098102,28,1442.0,-0.8800000000000008
165.0,28,394.0,5.116883116883117,4.741221449072821,28,1485.0,0.19553280248730348,28,1485.0,-0.4299999999999997
170.0,32,401.0,5.276315789473684,4.542760756757459,32,1588.0,0.18666959401837563,32,1588.0,-1.0300000000000011
175.0,37,501.0,6.341772151898734,4.041281107315622,37,1722.0,0.15777966747814542,37,1722.0,-1.339999999999998
180.0,44,703.0,8.7875,4.120737667435891,44,1886.0,0.1627860661334296,44,1886.0,-1.6400000000000006
185.0,47,799.0,9.511904761904763,4.017358557160508,47,2062.0,0.1606922333866853,47,2062.0,-1.7600000000000016
190.0,48,934.0,11.25301204819277,3.8487258181410997,48,2256.0,0.14697796829190982,48,2256.0,-1.9399999999999977
195.0,49,1177.0,13.847058823529412,3.66623927004203,49,2414.0,0.13846558890353122,49,2414.0,-1.5800000000000018
200.0,53,1296.0,15.069767441860465,3.565598529605756,53,2561.0,0.14222641960273907,53,2561.0,-1.4699999999999989
205.0,52,1326.0,14.733333333333333,3.5379941781392916,51,2714.0,0.13567906558541046,51,2714.0,-1.5300000000000011
210.0,51,1348.0,14.977777777777778,3.662774548342066,51,2865.0,0.13720647048039386,51,2865.0,-1.509999999999998
215.0,47,1222.0,13.428571428571429,3.3981019573923343,47,3021.0,0.13520959418939205,47,3021.0,-1.5600000000000023
220.0,49,1020.0,11.208791208791208,3.2576819359887543,49,3192.0,0.1318590824619187,49,3192.0,-1.7100000000000009
225.0,46,965.0,10.157894736842104,3.288911419065102,46,3353.0,0.13195080874681447,46,3353.0,-1.6099999999999994
230.0,50,838.0,8.821052631578947,3.3213975435760026,50,3521.0,0.13471658343161336,50,3521.0,-1.6799999999999997
235.0,52,709.0,7.23469387755102,2.9772795875760214,52,3708.0,0.11247850360463785,52,3708.0,-1.8699999999999974
240.0,55,823.0,8.313131313131313,3.208496809837056,55,3910.0,0.12323851754771274,55,3910.0,-2.020000000000003
245.0,55,904.0,8.950495049504951,2.879734959111303,55,4107.0,0.11303007651252675,55,4107.0,-1.9699999999999989
250.0,61,1005.0,10.05,2.7874851107927636,61,4337.0,0.1098398290702215,61,4337.0,-2.299999999999997
255.0,64,1290.0,12.403846153846153,2.6802394041354063,64,4541.0,0.096886812000817,64,4541.0,-2.039999999999999
260.0,71,1495.0,14.10377358490566,2.7951901353717212,71,4732.0,0.10698171936665386,71,4732.0,-1.9100000000000037
