step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.15564396072748124,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3501989116368328,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.34858200123392613,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5529914583438217,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.36415000184478,3,3,0.0,0.5188214204512959,10.36415000184478,10.36415000184478,3,0.0,10.36415000184478
30.0,0,0.0,0.0,13.606754282711497,0,0,0.0,0.6846463807860017,13.606754282711497,13.606754282711497,0,0.0,13.606754282711497
35.0,0,0.0,0.0,13.85459334181229,0,0,0.0,0.7151739159124663,13.854593341812294,13.85459334181229,0,0.0,13.854593341812294
40.0,3,6.0,0.46153846153846156,8.540304863745822,3,3,6.0,0.48082863557437555,8.54030486374582,8.540304863745822,3,6.0,8.54030486374582
45.0,3,21.0,1.6153846153846154,10.051914164046073,3,3,21.0,0.5491662564116698,10.051914164046075,10.051914164046073,3,21.0,10.051914164046075
50.0,2,24.0,1.5,7.875166965239741,2,2,24.0,0.42743824097822714,8.124937050496818,7.875166965239741,2,24.0,8.124937050496818
55.0,4,42.0,2.625,8.554581230210104,4,4,35.0,0.4486279988408384,8.467983129765418,8.554581230210104,4,35.0,8.467983129765418
60.0,4,62.0,3.875,9.533705012808648,4,4,62.0,0.5035663501782318,9.512381831203864,9.533705012808648,4,62.0,9.512381831203864
65.0,4,70.0,3.5,7.34637466360045,4,4,70.0,0.3665797436215661,7.461992085338383,7.34637466360045,4,70.0,7.461992085338383
70.0,4,90.0,4.5,9.117964538264085,4,4,80.0,0.448771219335186,8.806368826110358,9.117964538264085,4,80.0,8.806368826110358
