step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.15564396072748124,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3501989116368328,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.34858200123392613,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5529914583438217,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.36415000184478,3,3,0.0,0.5188214204512959,10.36415000184478,10.36415000184478,3,0.0,10.36415000184478
30.0,0,0.0,0.0,13.606754282711497,0,0,0.0,0.6846463807860017,13.606754282711497,13.606754282711497,0,0.0,13.606754282711497
35.0,0,0.0,0.0,14.315804916782639,0,0,0.0,0.7373166212735055,14.315804916782643,14.315804916782639,0,0.0,14.315804916782643
40.0,2,4.0,0.3076923076923077,8.301658074764232,2,2,4.0,0.45107101033246094,8.45827541432792,8.301658074764232,2,4.0,8.45827541432792
45.0,3,19.0,1.4615384615384615,9.950494618192483,3,3,19.0,0.5410162602109678,10.225400419708523,9.950494618192483,3,19.0,10.225400419708523
50.0,2,24.0,1.5,8.001173666273523,2,2,24.0,0.4323400566932872,8.21193954716974,8.001173666273523,2,24.0,8.21193954716974
55.0,4,41.0,2.5625,8.682918863562888,4,4,36.0,0.4522829871571638,8.468190359350475,8.682918863562888,4,36.0,8.468190359350475
60.0,4,61.0,3.8125,9.513373115232483,4,4,61.0,0.4966648886673637,9.354008227798042,9.513373115232483,4,61.0,9.354008227798042
65.0,3,42.0,2.1,7.603972306504275,3,3,42.0,0.36963505758926984,7.515325418671716,7.603972306504275,3,42.0,7.515325418671716
70.0,3,57.0,2.85,9.412358010907859,3,3,35.0,0.49228563776101997,9.711322561444938,9.412358010907859,3,35.0,9.711322561444938
