RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
3, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.606, 7.732 +/- 1.783, 118.019 +/- 46.033, 0.353 +/- 0.045, 6.549 +/- 0.797, 7.807 +/- 0.557, 3105.257 +/- 210.266, 97.701 +/- 7.374, 1.335 +/- 0.090, 60.438 +/- 1.034, 2564.421 +/- 199.510, 68.407 +/- 5.409, 1.102 +/- 0.086, 61.130 +/- 0.654, 
3, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -144.046 +/- 24.799, 144.046 +/- 24.799, 3240.911 +/- 586.631, 0.038 +/- 0.033, 0.709 +/- 0.628, 1.265 +/- 0.718, 2540.131 +/- 70.133, 147.381 +/- 5.787, 1.092 +/- 0.030, 56.335 +/- 0.463, 2504.372 +/- 57.936, 139.894 +/- 7.591, 1.077 +/- 0.025, 56.701 +/- 0.511, 
3, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.559, 4.885 +/- 1.458, 85.826 +/- 118.488, 0.383 +/- 0.082, 7.098 +/- 1.455, 8.236 +/- 0.862, 3133.459 +/- 303.873, 92.552 +/- 12.845, 1.347 +/- 0.131, 60.776 +/- 1.371, 2586.268 +/- 240.308, 63.815 +/- 7.511, 1.112 +/- 0.103, 61.382 +/- 0.811, 
3, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -5.510 +/- 1.205, 5.510 +/- 1.205, 81.783 +/- 41.184, 0.360 +/- 0.063, 6.697 +/- 1.142, 7.917 +/- 0.695, 3122.157 +/- 278.657, 97.274 +/- 10.950, 1.342 +/- 0.120, 60.589 +/- 1.099, 2604.013 +/- 246.892, 67.891 +/- 6.366, 1.119 +/- 0.106, 61.255 +/- 0.654, 
3, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.340, 7.645 +/- 2.000, 448.524 +/- 318.006, 0.318 +/- 0.062, 5.906 +/- 1.120, 7.307 +/- 0.807, 3051.131 +/- 249.491, 104.328 +/- 11.004, 1.312 +/- 0.107, 59.932 +/- 1.170, 2571.530 +/- 234.408, 74.665 +/- 9.354, 1.105 +/- 0.101, 60.762 +/- 0.759, 
3, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -52.786 +/- 8.419, 52.786 +/- 8.419, 1205.129 +/- 214.509, 0.075 +/- 0.038, 1.395 +/- 0.718, 2.406 +/- 0.747, 2614.323 +/- 86.787, 142.548 +/- 6.976, 1.124 +/- 0.037, 56.806 +/- 0.534, 2538.593 +/- 91.071, 128.405 +/- 8.047, 1.091 +/- 0.039, 57.462 +/- 0.543, 
3, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.217, 1.196 +/- 1.037, 12.387 +/- 20.172, 0.404 +/- 0.345, 7.449 +/- 6.730, 8.958 +/- 3.717, 2965.721 +/- 1323.878, 85.310 +/- 54.193, 1.275 +/- 0.569, 60.323 +/- 5.259, 2749.797 +/- 772.412, 56.787 +/- 28.795, 1.182 +/- 0.332, 61.497 +/- 2.827, 
3, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -1.198 +/- 1.039, 1.198 +/- 1.039, 12.352 +/- 20.117, 0.405 +/- 0.345, 7.459 +/- 6.726, 8.961 +/- 3.713, 2963.683 +/- 1327.547, 85.227 +/- 54.239, 1.274 +/- 0.571, 60.337 +/- 5.234, 2747.920 +/- 773.450, 56.750 +/- 28.773, 1.181 +/- 0.332, 61.500 +/- 2.816, 
3, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.732, 37.375 +/- 3.465, 787.951 +/- 85.316, 0.156 +/- 0.022, 2.896 +/- 0.405, 4.438 +/- 0.351, 2781.995 +/- 95.087, 129.024 +/- 4.795, 1.196 +/- 0.041, 57.930 +/- 0.476, 2538.959 +/- 97.718, 105.177 +/- 4.249, 1.091 +/- 0.042, 58.890 +/- 0.379, 
3, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -201.620 +/- 24.327, 201.620 +/- 24.327, 4587.431 +/- 572.386, 0.027 +/- 0.026, 0.495 +/- 0.495, 0.891 +/- 0.541, 2518.920 +/- 55.860, 149.009 +/- 4.334, 1.083 +/- 0.024, 56.186 +/- 0.369, 2502.251 +/- 51.425, 143.784 +/- 5.283, 1.076 +/- 0.022, 56.446 +/- 0.395, 
