RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,7.423,110.162,0.36,6.667,7.893,3094.36,96.165,1.33,60.499,2573.502,67.377,1.106,61.175,  
2,  testing,6.725,227.451,0.378,7.03,8.14,3141.408,94.001,1.35,60.797,2568.643,64.991,1.104,61.363,  
3,  testing,6.289,84.948,0.385,7.138,8.214,3142.277,91.973,1.351,60.831,2562.557,63.595,1.102,61.386,  
4,  testing,5.643,75.966,0.401,7.438,8.434,3170.501,89.881,1.363,61.098,2561.122,61.346,1.101,61.563,  
5,  testing,6.65,99.765,0.377,6.993,8.114,3129.857,93.327,1.345,60.726,2560.526,64.764,1.101,61.32,  
,,,,,,,,,,,,,,,
,min,5.643,75.966,0.36,6.667,7.893,3094.36,89.881,1.33,60.499,2560.526,61.346,1.101,61.175,
,max,7.423,227.451,0.401,7.438,8.434,3170.501,96.165,1.363,61.098,2573.502,67.377,1.106,61.563,
,average,6.546,119.6584,0.3802,7.0532,8.159,3135.6806,93.0694,1.3478,60.7902,2565.27,64.4146,1.1028,61.3614,
,std,0.581969759,55.17066481,0.013257451,0.248424958,0.174236621,24.617401,2.092126344,0.010684568,0.192546514,5.024236499,1.965613451,0.001939072,0.124666916,
,,,,,,,,,,,,,,,  
1,  baseline,143,3219.868,0.038,0.704,1.262,2539.314,147.404,1.092,56.33,2503.107,139.887,1.076,56.697,  
2,  baseline,143.65,3234.483,0.038,0.705,1.26,2539.205,147.387,1.092,56.33,2502.833,139.891,1.076,56.696,  
3,  baseline,143.521,3231.695,0.038,0.704,1.26,2539.095,147.399,1.092,56.33,2503.305,139.916,1.076,56.697,  
4,  baseline,143.037,3220.403,0.038,0.704,1.262,2539.066,147.394,1.092,56.33,2503.184,139.885,1.076,56.697,  
5,  baseline,143.085,3221.752,0.038,0.705,1.262,2539.296,147.4,1.092,56.33,2502.992,139.883,1.076,56.697,
,,,,,,,,,,,,,,,
,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
