RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,5.576,86.338,0.366,6.787,7.976,3115.427,96.079,1.339,60.61,2595.348,67.159,1.116,61.256,  
2,  testing,6.19,410.065,0.354,6.564,7.821,3081.232,98.433,1.325,60.415,2612.573,69.607,1.123,61.127,  
3,  testing,7.645,448.524,0.318,5.906,7.307,3051.131,104.328,1.312,59.932,2571.53,74.665,1.105,60.762,  
4,  testing,4.667,63.572,0.385,7.165,8.239,3135.899,92.339,1.348,60.839,2594.285,63.94,1.115,61.42,  
5,  testing,4.807,73.893,0.378,7.026,8.139,3091.418,91.954,1.329,60.674,2602.807,64.515,1.119,61.296,  
,,,,,,,,,,,,,,,
,min,4.667,63.572,0.318,5.906,7.307,3051.131,91.954,1.312,59.932,2571.53,63.94,1.105,60.762,
,max,7.645,448.524,0.385,7.165,8.239,3135.899,104.328,1.348,60.839,2612.573,74.665,1.123,61.42,
,average,5.777,216.4784,0.3602,6.6896,7.8964,3095.0214,96.6266,1.3306,60.494,2595.3086,67.9772,1.1156,61.1722,
,std,1.083826001,174.3378441,0.0236,0.442371156,0.327305118,29.04088824,4.540731509,0.012273549,0.312078836,13.57023682,3.907382264,0.005986652,0.225415527,  
,,,,,,,,,,,,,,,  
1,  baseline,54.682,1248.799,0.073,1.36,2.349,2611.666,142.817,1.123,56.786,2537.533,128.979,1.091,57.427,  
2,  baseline,52.906,1207.993,0.074,1.379,2.388,2612.358,142.704,1.123,56.796,2536.371,128.592,1.09,57.45,  
3,  baseline,52.786,1205.129,0.075,1.395,2.406,2614.323,142.548,1.124,56.806,2538.593,128.405,1.091,57.462,  
4,  baseline,54.069,1234.775,0.073,1.366,2.361,2610.827,142.725,1.122,56.781,2536.32,128.824,1.09,57.427,
5,  baseline,53.465,1221.087,0.074,1.383,2.385,2612.689,142.596,1.123,56.796,2537.015,128.566,1.091,57.445,
,,,,,,,,,,,,,,,
,min,52.786,1205.129,0.073,1.36,2.349,2610.827,142.548,1.122,56.781,2536.32,128.405,1.09,57.427,
,max,54.682,1248.799,0.075,1.395,2.406,2614.323,142.817,1.124,56.806,2538.593,128.979,1.091,57.462,
,average,53.5816,1223.5566,0.0738,1.3766,2.3778,2612.3726,142.678,1.123,56.793,2537.1664,128.6732,1.0906,57.4422,
,std,0.714345743,16.43734934,0.000748331,0.012435433,0.020311573,1.16555096,0.095739229,0.000632456,0.008717798,0.841612642,0.203111201,0.000489898,0.013585286,
