RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.343, 7.954 +/- 1.676, 454.579 +/- 317.759, 0.356 +/- 0.049, 6.605 +/- 0.882, 7.831 +/- 0.629, 3092.796 +/- 219.886, 97.655 +/- 7.901, 1.329 +/- 0.095, 60.468 +/- 0.946, 2550.930 +/- 201.744, 68.263 +/- 7.122, 1.097 +/- 0.087, 61.117 +/- 0.615, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -144.193 +/- 24.147, 144.193 +/- 24.147, 3244.033 +/- 572.385, 0.038 +/- 0.031, 0.700 +/- 0.581, 1.254 +/- 0.665, 2538.971 +/- 65.110, 147.459 +/- 5.431, 1.091 +/- 0.028, 56.327 +/- 0.427, 2503.803 +/- 56.755, 140.003 +/- 7.038, 1.076 +/- 0.024, 56.693 +/- 0.474, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.272, 7.934 +/- 1.601, 405.919 +/- 265.189, 0.314 +/- 0.053, 5.817 +/- 0.955, 7.246 +/- 0.679, 3020.239 +/- 255.437, 104.538 +/- 8.603, 1.298 +/- 0.110, 59.872 +/- 0.951, 2598.987 +/- 214.302, 75.425 +/- 7.134, 1.117 +/- 0.092, 60.697 +/- 0.643, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -5.008 +/- 1.231, 5.008 +/- 1.231, 70.700 +/- 39.819, 0.374 +/- 0.065, 6.965 +/- 1.192, 8.099 +/- 0.722, 3137.075 +/- 291.984, 94.717 +/- 11.224, 1.349 +/- 0.126, 60.768 +/- 1.135, 2599.383 +/- 253.889, 65.681 +/- 6.611, 1.117 +/- 0.109, 61.369 +/- 0.675, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.539, 5.576 +/- 1.780, 86.338 +/- 54.981, 0.366 +/- 0.079, 6.787 +/- 1.462, 7.976 +/- 0.938, 3115.427 +/- 314.557, 96.079 +/- 12.870, 1.339 +/- 0.135, 60.610 +/- 1.277, 2595.348 +/- 338.856, 67.159 +/- 9.058, 1.116 +/- 0.146, 61.256 +/- 0.806, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -54.682 +/- 9.406, 54.682 +/- 9.406, 1248.799 +/- 244.867, 0.073 +/- 0.039, 1.360 +/- 0.735, 2.349 +/- 0.765, 2611.666 +/- 86.554, 142.817 +/- 7.296, 1.123 +/- 0.037, 56.786 +/- 0.545, 2537.533 +/- 87.968, 128.979 +/- 8.410, 1.091 +/- 0.038, 57.427 +/- 0.553, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.228, 1.040 +/- 1.025, 13.198 +/- 47.357, 0.427 +/- 0.345, 7.806 +/- 6.769, 9.279 +/- 3.768, 3055.289 +/- 1244.184, 84.367 +/- 55.313, 1.313 +/- 0.535, 60.808 +/- 4.991, 2767.410 +/- 741.324, 54.146 +/- 29.450, 1.190 +/- 0.319, 61.804 +/- 2.728, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -1.191 +/- 1.032, 1.191 +/- 1.032, 12.333 +/- 20.111, 0.407 +/- 0.344, 7.462 +/- 6.707, 8.951 +/- 3.699, 2956.401 +/- 1322.997, 84.881 +/- 54.218, 1.271 +/- 0.569, 60.321 +/- 5.260, 2743.269 +/- 770.618, 56.640 +/- 28.735, 1.179 +/- 0.331, 61.484 +/- 2.824, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.935, 26.776 +/- 2.963, 544.115 +/- 102.551, 0.198 +/- 0.024, 3.672 +/- 0.433, 5.309 +/- 0.358, 2856.897 +/- 105.337, 122.540 +/- 6.450, 1.228 +/- 0.045, 58.476 +/- 0.523, 2545.182 +/- 106.763, 95.718 +/- 5.130, 1.094 +/- 0.046, 59.479 +/- 0.381, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -201.681 +/- 24.551, 201.681 +/- 24.551, 4588.830 +/- 576.752, 0.027 +/- 0.027, 0.497 +/- 0.505, 0.893 +/- 0.556, 2519.025 +/- 56.382, 148.995 +/- 4.447, 1.083 +/- 0.024, 56.187 +/- 0.375, 2502.761 +/- 51.777, 143.772 +/- 5.475, 1.076 +/- 0.022, 56.448 +/- 0.401, 
