RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,1.04,13.198,0.427,7.806,9.279,3055.289,84.367,1.313,60.808,2767.41,54.146,1.19,61.804,  
2,  testing,3.291,326.894,0.289,5.308,6.868,2933.435,109.966,1.261,59.302,2706.423,82.191,1.163,60.333,  
3,  testing,1.196,12.387,0.404,7.449,8.958,2965.721,85.31,1.275,60.323,2749.797,56.787,1.182,61.497,  
4,  testing,1.842,48.707,0.36,6.599,7.946,3018.405,96.694,1.298,60.188,2678.238,68.626,1.151,61.05,  
5,  testing,3.205,255.498,0.294,5.411,7.087,2964.171,109.899,1.274,59.472,2710.341,80.513,1.165,60.517,  
,,,,,,,,,,,,,,,
,min,1.04,12.387,0.289,5.308,6.868,2933.435,84.367,1.261,59.302,2678.238,54.146,1.151,60.333,
,max,3.291,326.894,0.427,7.806,9.279,3055.289,109.966,1.313,60.808,2767.41,82.191,1.19,61.804,
,average,2.1148,131.3368,0.3548,6.5146,8.0276,2987.4042,97.2472,1.2842,60.0186,2722.4418,68.4526,1.1702,61.0402,
,std,0.963928504,133.1105833,0.056012142,1.021935145,0.966199276,43.57066207,11.22976618,0.018691174,0.557995556,32.02328286,11.61888099,0.013991426,0.559646817,  
,,,,,,,,,,,,,,,  
1,  baseline,1.191,12.333,0.407,7.462,8.951,2956.401,84.881,1.271,60.321,2743.269,56.64,1.179,61.484,  
2,  baseline,1.19,12.332,0.406,7.457,8.959,2963.552,85.173,1.274,60.324,2747.725,56.703,1.181,61.492,  
3,  baseline,1.198,12.352,0.405,7.459,8.961,2963.683,85.227,1.274,60.337,2747.92,56.75,1.181,61.5,  
4,  baseline,1.19,12.299,0.407,7.46,8.947,2961.355,84.976,1.273,60.318,2745.636,56.693,1.18,61.48,
5,  baseline,1.193,12.362,0.405,7.449,8.962,2964.567,85.224,1.274,60.312,2750.114,56.712,1.182,61.495,
,,,,,,,,,,,,,,,
,min,1.19,12.299,0.405,7.449,8.947,2956.401,84.881,1.271,60.312,2743.269,56.64,1.179,61.48,
,max,1.198,12.362,0.407,7.462,8.962,2964.567,85.227,1.274,60.337,2750.114,56.75,1.182,61.5,
,average,1.1924,12.3356,0.406,7.4574,8.956,2961.9116,85.0962,1.2732,60.3224,2746.9328,56.6996,1.1806,61.4902,
,std,0.003006659,0.021564786,0.000894427,0.004498889,0.005932959,2.951488953,0.141491201,0.00116619,0.008309031,2.316346209,0.035499859,0.001019804,0.007277362,
