RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
5,std,0.03643405,0.835897266,3.47E-18,0.00116619,0.00116619,0.077904044,0.010707007,0,0.000748331,0.217840676,0.012877888,0,0.000894427,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
6,min,5.643,75.966,0.36,6.667,7.893,3094.36,89.881,1.33,60.499,2560.526,61.346,1.101,61.175,
6,max,7.423,227.451,0.401,7.438,8.434,3170.501,96.165,1.363,61.098,2573.502,67.377,1.106,61.563,
6,average,6.546,119.6584,0.3802,7.0532,8.159,3135.6806,93.0694,1.3478,60.7902,2565.27,64.4146,1.1028,61.3614,
6,std,0.581969759,55.17066481,0.013257451,0.248424958,0.174236621,24.617401,2.092126344,0.010684568,0.192546514,5.024236499,1.965613451,0.001939072,0.124666916,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
6,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
6,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
6,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
6,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
7,min,6.115,80.011,0.344,6.388,7.675,3084.476,91.904,1.326,60.342,2567.565,63.267,1.104,61.019,
7,max,8.363,205.019,0.388,7.208,8.264,3152.91,99.483,1.355,60.921,2577.275,69.973,1.108,61.457,
7,average,7.3912,125.3156,0.3598,6.6902,7.9056,3116.8376,96.851,1.3398,60.577,2571.8064,67.4818,1.1056,61.2198,
7,std,0.779105487,42.30990415,0.015778466,0.292871576,0.207758129,22.75008268,2.764040665,0.009703608,0.199993,4.015079307,2.399675428,0.001624808,0.147354538,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
7,min,124.038,2837.818,0.04,0.747,1.338,2551.239,147.277,1.097,56.354,2513.393,139.017,1.08,56.739,
7,max,128.991,2951.393,0.042,0.774,1.384,2553.986,147.51,1.098,56.375,2515.079,139.499,1.081,56.771,
7,average,127.0562,2907.5178,0.0408,0.7576,1.3558,2552.2328,147.4114,1.0972,56.3616,2513.9004,139.3042,1.0808,56.7504,
7,std,1.657075303,38.23948027,0.000748331,0.009243376,0.015904716,0.959110922,0.076227554,0.0004,0.007499333,0.609809019,0.16240862,0.0004,0.011534297,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
8,min,2.588,30.966,0.288,5.343,6.818,2998.33,85.556,1.289,59.59,2623.133,58.764,1.128,60.469,
8,max,6.452,461.104,0.412,7.596,8.665,3115.115,110.395,1.339,60.864,2674.993,81.791,1.15,61.52,
8,average,3.902,191.949,0.3684,6.822,8.0224,3068.0804,94.7068,1.319,60.4444,2644.4022,67.1942,1.1368,61.174,
8,std,1.527183028,194.1511153,0.048060795,0.886761524,0.717261626,39.31204775,9.854998719,0.016864163,0.501442958,17.06700348,8.963622736,0.007304793,0.417433588,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
8,min,2.428,28.068,0.397,7.34,8.523,3091.665,84.045,1.329,60.788,2627.236,57.366,1.129,61.508,
8,max,2.896,38.303,0.424,7.838,8.835,3114.217,88.797,1.339,61.098,2636.742,61.031,1.133,61.702,
8,average,2.6592,33.126,0.4106,7.5894,8.6776,3104.5616,86.4374,1.3348,60.9406,2633.4688,59.2036,1.132,61.6026,
8,std,0.17292935,3.765634714,0.009951884,0.183313502,0.115560547,9.425524592,1.761026814,0.004118252,0.113079795,3.277374217,1.357341313,0.001549193,0.071670356,
