RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,6.115,80.011,0.388,7.208,8.264,3152.91,91.904,1.355,60.921,2567.565,63.267,1.104,61.457,  
2,  testing,7.922,121.488,0.348,6.474,7.755,3108.627,99.01,1.336,60.441,2577.275,69.337,1.108,61.137,  
3,  testing,7,104.393,0.365,6.797,7.992,3128.082,95.898,1.345,60.652,2575.992,66.588,1.107,61.288,  
4,  testing,8.363,205.019,0.344,6.388,7.675,3084.476,99.483,1.326,60.342,2569.62,69.973,1.105,61.019,  
5,  testing,7.556,115.667,0.354,6.584,7.842,3110.093,97.96,1.337,60.529,2568.58,68.244,1.104,61.198,  
,,,,,,,,,,,,,,,
,min,6.115,80.011,0.344,6.388,7.675,3084.476,91.904,1.326,60.342,2567.565,63.267,1.104,61.019,
,max,8.363,205.019,0.388,7.208,8.264,3152.91,99.483,1.355,60.921,2577.275,69.973,1.108,61.457,
,average,7.3912,125.3156,0.3598,6.6902,7.9056,3116.8376,96.851,1.3398,60.577,2571.8064,67.4818,1.1056,61.2198,
,std,0.779105487,42.30990415,0.015778466,0.292871576,0.207758129,22.75008268,2.764040665,0.009703608,0.199993,4.015079307,2.399675428,0.001624808,0.147354538,  
,,,,,,,,,,,,,,,  
1,  baseline,128.991,2951.393,0.04,0.747,1.338,2551.239,147.51,1.097,56.354,2513.393,139.499,1.08,56.739,  
2,  baseline,127.944,2929.583,0.04,0.751,1.344,2551.765,147.447,1.097,56.355,2513.477,139.408,1.081,56.74,  
3,  baseline,124.038,2837.818,0.042,0.774,1.384,2553.986,147.277,1.098,56.375,2515.079,139.017,1.081,56.771,  
4,  baseline,127.34,2913.536,0.041,0.757,1.354,2551.715,147.412,1.097,56.362,2513.739,139.316,1.081,56.75,
5,  baseline,126.968,2905.259,0.041,0.759,1.359,2552.459,147.411,1.097,56.362,2513.814,139.281,1.081,56.752,
,,,,,,,,,,,,,,,
,min,124.038,2837.818,0.04,0.747,1.338,2551.239,147.277,1.097,56.354,2513.393,139.017,1.08,56.739,
,max,128.991,2951.393,0.042,0.774,1.384,2553.986,147.51,1.098,56.375,2515.079,139.499,1.081,56.771,
,average,127.0562,2907.5178,0.0408,0.7576,1.3558,2552.2328,147.4114,1.0972,56.3616,2513.9004,139.3042,1.0808,56.7504,
,std,1.657075303,38.23948027,0.000748331,0.009243376,0.015904716,0.959110922,0.076227554,0.0004,0.007499333,0.609809019,0.16240862,0.0004,0.011534297,
