step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0.0,0.17817533286660756,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0.0,0.40089449894986695,0,0.0,0.0
15.0,0,0.0,0.0,7.085714285714287,0,0.0,0.39096193351462843,0,0.0,0.0
20.0,0,0.0,0.0,11.085714285714287,0,0.0,0.6047581978728813,0,0.0,0.0
25.0,3,0.0,0.0,10.072485821204989,3,0.0,0.5448693940480315,3,0.0,0.0
30.0,0,0.0,0.0,12.48209393109845,0,0.0,0.6663768315768543,0,0.0,0.0
35.0,0,0.0,0.0,14.866371223396758,0,0.0,0.7865715249549208,0,0.0,0.0
40.0,1,1.0,0.07692307692307693,8.980864377351365,1,1.0,0.4756840594217579,1,1.0,-0.01
45.0,3,16.0,1.2307692307692308,10.42044071403876,3,16.0,0.5424791193283228,3,16.0,-0.15
50.0,2,21.0,1.3125,7.32390445993272,2,21.0,0.38971848675249426,2,21.0,-0.04999999999999999
55.0,4,41.0,2.5625,8.73525424089174,4,43.0,0.4738315595144926,4,43.0,-0.22
60.0,4,61.0,3.8125,9.04100355315602,4,61.0,0.4973625835579415,4,61.0,-0.18
65.0,5,62.0,3.1,7.033677850265765,5,62.0,0.36976231637129575,5,62.0,-0.010000000000000009
70.0,5,87.0,4.35,8.56738659410392,5,90.0,0.44880601191817826,5,90.0,-0.28
75.0,6,113.0,4.913043478260869,7.040241723673591,6,113.0,0.34451245218428456,6,113.0,-0.22999999999999987
80.0,5,62.0,2.6956521739130435,8.363136983172167,5,107.0,0.40725134700029947,5,107.0,0.05999999999999983
85.0,7,77.0,2.9615384615384617,7.517382127935397,7,84.0,0.36024858327813497,7,84.0,0.2300000000000001
90.0,6,104.0,4.0,8.58687654762801,6,104.0,0.4371739683358661,6,104.0,-0.20000000000000007
95.0,3,38.0,1.52,8.788819887083939,3,86.0,0.46434697542141967,3,86.0,0.18000000000000005
100.0,5,44.0,1.5714285714285714,7.812651145195067,5,55.0,0.3597166628247199,5,55.0,0.30999999999999994
105.0,5,69.0,2.4642857142857144,9.298682333997279,5,69.0,0.47841473532295437,5,69.0,-0.1399999999999999
110.0,3,25.0,0.8333333333333334,7.765764762429398,3,56.0,0.35254242408299497,3,56.0,0.1299999999999999
115.0,4,44.0,1.5172413793103448,8.792000571324682,4,47.0,0.43651772027005964,4,47.0,0.09000000000000008
120.0,4,64.0,2.2857142857142856,9.415838736177486,4,64.0,0.497808928238661,4,64.0,-0.17000000000000004
125.0,4,46.0,1.4838709677419355,7.954955650300053,4,60.0,0.356703633387775,4,60.0,0.040000000000000036
130.0,4,66.0,2.129032258064516,9.270521177257683,4,68.0,0.4664871434183197,4,68.0,-0.08000000000000007
135.0,5,88.0,2.6666666666666665,8.574186368192015,5,88.0,0.3836227999670515,5,88.0,-0.19999999999999996
140.0,3,62.0,2.0,9.126213898100387,3,84.0,0.4782517231917233,3,84.0,0.040000000000000036
145.0,6,77.0,2.264705882352941,9.28556707449234,6,79.0,0.46867507119840607,6,79.0,0.04999999999999993
150.0,5,98.0,3.2666666666666666,9.226301982273391,5,98.0,0.47418175171796306,5,98.0,-0.18999999999999995
155.0,4,66.0,2.2,9.622448736295063,4,66.0,0.5315174079344691,4,66.0,0.31999999999999995
160.0,7,92.0,2.787878787878788,8.306685002286237,7,94.0,0.37869483617941513,7,94.0,-0.2799999999999999
165.0,7,127.0,4.233333333333333,8.963051775928607,7,127.0,0.43313387862348723,7,127.0,-0.33000000000000007
170.0,4,60.0,1.935483870967742,7.430875269530822,4,113.0,0.3032461406881933,4,113.0,0.14000000000000012
175.0,5,72.0,2.4,8.596493481822735,5,87.0,0.4113724312817593,5,87.0,0.2599999999999999
180.0,5,97.0,3.5925925925925926,9.152305744688064,5,97.0,0.4915232357563486,5,97.0,-0.09999999999999998
185.0,8,129.0,4.161290322580645,7.588970795219569,8,129.0,0.33328043754399445,8,129.0,-0.32000000000000006
190.0,8,169.0,5.633333333333334,8.318416487042784,8,169.0,0.3701123547449898,8,169.0,-0.3999999999999999
195.0,10,213.0,7.344827586206897,7.172745298197101,10,213.0,0.2998212958842941,10,213.0,-0.43999999999999995
200.0,9,247.0,8.517241379310345,7.5293780482737125,9,248.0,0.34367064219967064,9,248.0,-0.3500000000000001
205.0,13,293.0,9.451612903225806,6.54296255195782,13,295.0,0.30292931170737714,13,295.0,-0.4700000000000002
210.0,11,348.0,11.6,6.967243085023056,11,348.0,0.340384928565413,11,348.0,-0.5299999999999998
215.0,8,268.0,8.933333333333334,7.172370509906475,8,342.0,0.34072718082648623,8,342.0,0.06000000000000005
220.0,9,271.0,8.46875,6.3423180257670815,9,307.0,0.2795216672802846,9,307.0,0.3500000000000001
225.0,9,316.0,9.875,7.703808112784962,9,316.0,0.37610311546912134,9,316.0,-0.0900000000000003
230.0,9,152.0,4.470588235294118,6.1906186367606475,9,279.0,0.2706372186961745,9,279.0,0.3700000000000001
235.0,6,49.0,1.4848484848484849,6.992411273552408,6,248.0,0.30674100549083794,6,248.0,0.31000000000000005
