step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16365528774471566,3.2,3.2,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3682243974256102,7.199999999999999,7.199999999999999,0,0.0,0.0
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.36475163539936695,7.085714285714287,7.085714285714287,0,0.0,0.0
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5752509192775745,11.085714285714289,11.085714285714287,0,0.0,0.0
25.0,3,0.0,0.0,10.162006773512221,3,3,0.0,0.5268149462430222,10.162006773512221,10.162006773512221,3,0.0,0.0
30.0,0,0.0,0.0,13.156950231324373,0,0,0.0,0.6878639758536933,13.15695023132437,13.156950231324373,0,0.0,0.0
35.0,0,0.0,0.0,13.90220518655247,0,0,0.0,0.7485955356304334,13.902205186552473,13.90220518655247,0,0.0,0.0
40.0,2,5.0,0.38461538461538464,8.765082675780683,2,2,5.0,0.5069418379723583,8.765082675780683,8.765082675780683,2,5.0,-0.05
45.0,3,20.0,1.5384615384615385,10.153973915392461,3,3,20.0,0.5779128685477977,10.153973915392461,10.153973915392461,3,20.0,-0.15000000000000002
50.0,3,35.0,2.1875,7.163045709920622,3,3,35.0,0.4003619481973499,7.107209765940519,7.163045709920622,3,35.0,-0.14999999999999997
55.0,4,42.0,2.625,7.700168049648576,4,4,42.0,0.44299829394960927,7.91254991067323,7.700168049648576,4,42.0,-0.07
60.0,4,62.0,3.875,9.512547287236256,4,4,52.0,0.5509711210005102,9.478251103388544,9.512547287236256,4,52.0,-0.10000000000000003
65.0,6,85.0,4.25,7.091332862933413,6,6,85.0,0.41228366015370577,6.936824590195595,7.091332862933413,6,85.0,-0.32999999999999996
70.0,6,115.0,5.75,7.886034680098748,6,6,115.0,0.4554082536446563,7.767806091589595,7.886034680098748,6,115.0,-0.29999999999999993
75.0,8,148.0,6.434782608695652,6.430511070976539,8,8,148.0,0.3611319908931711,5.7311483528093285,6.430511070976539,8,148.0,-0.33000000000000007
80.0,5,100.0,4.3478260869565215,7.777735551569022,5,5,100.0,0.4585465589433453,7.537421097551753,7.777735551569022,5,100.0,0.48
85.0,7,114.0,4.384615384615385,8.185484609763197,7,7,77.0,0.47510803135386837,8.012499546341065,8.185484609763197,7,77.0,0.22999999999999998
90.0,6,136.0,5.230769230769231,8.116939864168744,6,6,136.0,0.43688725933663114,7.587395463263536,8.116939864168744,6,136.0,-0.5900000000000001
95.0,4,35.0,1.3461538461538463,8.837765414597385,3,4,34.0,0.5140634299316671,9.254056592765933,8.837765414597385,3,34.0,1.02
100.0,3,14.0,0.5,7.572834919266478,3,3,-39.0,0.33349319213099726,6.348779157528963,7.572834919266478,3,-39.0,0.73
105.0,4,29.0,1.0357142857142858,8.720344647745847,4,4,29.0,0.44023170586882926,8.13932681745049,8.720344647745847,4,29.0,-0.6799999999999999
110.0,7,50.0,1.6129032258064515,7.005213068856285,7,7,50.0,0.3198251411470781,5.917838596257321,7.005213068856285,7,50.0,-0.21000000000000002
