step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16415462102431913,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.36934789730471795,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3658721456530763,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5770327053958282,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.424548328930468,3,3,0.0,0.5444223423065636,10.42454832893047,10.424548328930468,3,0.0,10.42454832893047
30.0,0,0.0,0.0,13.110110239157004,0,0,0.0,0.6834207306564879,13.110110239157004,13.110110239157004,0,0.0,13.110110239157004
35.0,0,0.0,0.0,15.403988656381236,0,0,0.0,0.8035455769941182,15.403988656381236,15.403988656381236,0,0.0,15.403988656381236
40.0,3,3.0,0.23076923076923078,8.319772678241161,3,3,3.0,0.44818313897149864,8.319772678241161,8.319772678241161,3,3.0,8.319772678241161
45.0,2,12.0,0.9230769230769231,10.342910016445426,2,2,12.0,0.5837632420891983,11.10590341049662,10.342910016445426,2,12.0,11.10590341049662
50.0,2,22.0,1.375,8.305743750752747,2,2,21.0,0.4279092232823301,8.032792774899695,8.305743750752747,2,21.0,8.032792774899695
55.0,5,44.0,2.75,8.502492322965505,5,5,44.0,0.43508514459793707,8.242657918593304,8.502492322965505,5,44.0,8.242657918593304
60.0,3,39.0,2.4375,8.588582871673871,3,3,39.0,0.4596351095120604,8.695178273710267,8.588582871673871,3,39.0,8.695178273710267
65.0,5,61.0,3.05,7.440583745312042,5,5,45.0,0.39821568798492524,7.111143776878569,7.440583745312042,5,45.0,7.111143776878569
70.0,5,86.0,4.3,8.626820292866396,5,5,86.0,0.47356916430210927,8.310298161408253,8.626820292866396,5,86.0,8.310298161408253
75.0,7,115.0,5.0,7.324965622293002,7,7,115.0,0.37402030301032635,6.6333162993855685,7.324965622293002,7,115.0,6.6333162993855685
80.0,8,152.0,6.608695652173913,8.094463384454036,8,8,152.0,0.40303709221378486,7.348221708214451,8.094463384454036,8,152.0,7.348221708214451
85.0,11,192.0,7.68,6.8225457989394656,11,11,192.0,0.33994697531130447,6.1456660127358305,6.8225457989394656,11,192.0,6.1456660127358305
90.0,8,124.0,4.96,6.882652672946276,8,8,124.0,0.3446177035440599,6.415310718683228,6.882652672946276,8,124.0,6.415310718683228
95.0,6,135.0,5.4,8.084222546420676,6,6,89.0,0.43256780184799426,7.799283803120808,8.084222546420676,6,89.0,7.799283803120808
100.0,8,169.0,6.035714285714286,6.860890179794974,8,8,169.0,0.34464532865878644,6.149742419051069,6.860890179794974,8,169.0,6.149742419051069
105.0,7,167.0,6.185185185185185,7.382012159369151,7,7,167.0,0.3802205988931995,7.00528964160313,7.382012159369151,7,167.0,7.00528964160313
110.0,8,203.0,6.766666666666667,6.171016395042695,8,8,181.0,0.2593372873971217,4.9678893454441715,6.171016395042695,8,181.0,4.9678893454441715
115.0,9,248.0,8.266666666666667,7.359873377097175,9,9,248.0,0.3404869398656432,6.372712935365984,7.359873377097175,9,248.0,6.372712935365984
120.0,9,293.0,10.10344827586207,7.225510237819249,9,9,293.0,0.3402344762657844,6.2301061040692876,7.225510237819249,9,293.0,6.2301061040692876
125.0,8,156.0,5.032258064516129,6.349349364169475,8,8,156.0,0.2922642612095216,5.489311677797998,6.349349364169475,8,156.0,5.489311677797998
130.0,4,87.0,2.806451612903226,7.732880445861362,4,4,17.0,0.37289549921418363,7.04070625580168,7.732880445861362,4,17.0,7.04070625580168
135.0,5,109.0,3.2058823529411766,7.316170891156786,5,5,109.0,0.34109427286061594,6.3172780387189675,7.316170891156786,5,109.0,6.3172780387189675
140.0,9,148.0,4.352941176470588,7.659930006718216,9,9,148.0,0.35980894281258163,6.90369023414173,7.659930006718216,9,148.0,6.90369023414173
145.0,12,193.0,5.361111111111111,7.195939371887284,12,12,193.0,0.28478033804856895,5.49406321053825,7.195939371887284,12,193.0,5.49406321053825
150.0,11,246.0,6.833333333333333,7.428805389979431,11,11,246.0,0.3121999068058589,6.202079918856691,7.428805389979431,11,246.0,6.202079918856691
155.0,8,244.0,7.393939393939394,7.823992005133672,8,8,244.0,0.35506691255151723,7.118572055257291,7.823992005133672,8,244.0,7.118572055257291
160.0,9,253.0,7.027777777777778,6.784934383974134,9,9,238.0,0.26798864172187736,5.258588385189948,6.784934383974134,9,238.0,5.258588385189948
165.0,9,298.0,8.514285714285714,7.759041034154667,9,9,298.0,0.3546767807295068,6.632712515925435,7.759041034154667,9,298.0,6.632712515925435
170.0,8,172.0,4.526315789473684,6.775908405462001,8,8,172.0,0.27550343052242654,5.212152772057192,6.775908405462001,8,172.0,5.212152772057192
175.0,6,124.0,3.3513513513513513,8.073050091657551,6,6,61.0,0.3663365630677614,6.802665507863231,8.073050091657551,6,61.0,6.802665507863231
180.0,6,154.0,4.666666666666667,8.327583815808037,6,6,154.0,0.3836872291599042,6.960025806580321,8.327583815808037,6,154.0,6.960025806580321
185.0,8,161.0,4.735294117647059,6.937528182442008,8,8,161.0,0.3056691142646117,5.482433440066161,6.937528182442008,8,161.0,5.482433440066161
190.0,8,201.0,6.090909090909091,8.091886777561658,8,8,188.0,0.39026375676572667,7.037086828242562,8.091886777561658,8,188.0,7.037086828242562
195.0,10,244.0,6.777777777777778,7.487633060032705,10,10,244.0,0.3306785845967582,5.915643499337933,7.487633060032705,10,244.0,5.915643499337933
200.0,7,206.0,5.722222222222222,8.289588664607617,7,7,206.0,0.38344293524865225,7.241509691860367,8.289588664607617,7,206.0,7.241509691860367
205.0,9,229.0,6.1891891891891895,7.780900328392073,9,9,193.0,0.36211929055957576,6.449549254227998,7.780900328392073,9,193.0,6.449549254227998
210.0,8,265.0,7.361111111111111,8.205077839585075,8,8,265.0,0.39820612426647645,7.0320377591981735,8.205077839585075,8,265.0,7.0320377591981735
215.0,8,305.0,8.714285714285714,8.744148727305824,8,8,305.0,0.42796520506823166,7.97433470799221,8.744148727305824,8,305.0,7.97433470799221
220.0,10,349.0,9.694444444444445,7.603679694440091,10,10,349.0,0.3098542701423647,5.836685300246667,7.603679694440091,10,349.0,5.836685300246667
225.0,11,401.0,11.457142857142857,7.747400076946268,11,11,401.0,0.3076522337342564,5.984421767684179,7.747400076946268,11,401.0,5.984421767684179
230.0,12,458.0,13.085714285714285,6.721954735147451,12,12,458.0,0.25254068277307457,4.604533264901253,6.721954735147451,12,458.0,4.604533264901253
235.0,13,523.0,15.848484848484848,6.642635122132853,13,13,523.0,0.27301205671918205,5.111241803051125,6.642635122132853,13,523.0,5.111241803051125
240.0,10,349.0,10.575757575757576,6.623590792866024,10,10,349.0,0.2666289943466784,4.967074994363703,6.623590792866024,10,349.0,4.967074994363703
