step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.17297881929122652,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3892023434052596,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3804656284867752,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5902919027413139,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.282448054812985,3,3,0.0,0.5449335575981531,10.282448054812987,10.282448054812985,3,0.0,10.282448054812987
30.0,0,0.0,0.0,12.68244805481299,0,0,0.0,0.6621345906530793,12.682448054812989,12.68244805481299,0,0.0,12.682448054812989
35.0,0,0.0,0.0,15.06530897738902,0,0,0.0,0.7783522361524089,15.06530897738902,15.06530897738902,0,0.0,15.06530897738902
40.0,2,2.0,0.15384615384615385,8.466438478709868,2,2,2.0,0.4285113595067127,8.466438478709867,8.466438478709868,2,2.0,8.466438478709867
45.0,3,17.0,1.3076923076923077,10.539405148978258,3,3,17.0,0.516697107834122,10.627529045472555,10.539405148978258,3,17.0,10.627529045472555
50.0,2,21.0,1.3125,7.487063359233729,2,2,21.0,0.37143967210140544,7.625447212192962,7.487063359233729,2,21.0,7.625447212192962
55.0,4,41.0,2.5625,8.962866945243707,4,4,35.0,0.4491949535680488,8.85127455645741,8.962866945243707,4,35.0,8.85127455645741
60.0,4,61.0,3.8125,8.999128542366186,4,4,61.0,0.434961817776016,8.225806878925741,8.999128542366186,4,61.0,8.225806878925741
65.0,4,70.0,3.5,7.552926664252328,4,4,70.0,0.37786946493930457,7.606918194143197,7.552926664252328,4,70.0,7.606918194143197
70.0,4,90.0,4.5,9.225243238751682,4,4,80.0,0.46664416656234786,9.018180479712122,9.225243238751682,4,80.0,9.018180479712122
75.0,5,112.0,4.869565217391305,7.6461831082824805,5,5,112.0,0.38068615754200263,6.965737908968845,7.6461831082824805,5,112.0,6.965737908968845
80.0,5,137.0,5.956521739130435,8.960470523943881,5,5,137.0,0.47438739956388576,9.03353942691377,8.960470523943881,5,137.0,9.03353942691377
85.0,8,162.0,6.230769230769231,8.325504185443059,8,8,162.0,0.35815600680630577,6.90608661219395,8.325504185443059,8,162.0,6.90608661219395
90.0,7,195.0,7.8,8.4435596534683,7,7,195.0,0.40332903212605786,7.596625907348264,8.4435596534683,7,195.0,7.596625907348264
95.0,7,230.0,9.2,9.124094674946429,7,7,230.0,0.43951651560682714,8.577215986086728,9.124094674946429,7,230.0,8.577215986086728
100.0,10,271.0,9.678571428571429,7.084053755934378,10,10,271.0,0.2860312954075396,5.500734397810625,7.084053755934378,10,271.0,5.500734397810625
105.0,10,321.0,11.464285714285714,7.798607089227594,10,10,321.0,0.3424106577528328,6.444605413569291,7.798607089227594,10,321.0,6.444605413569291
110.0,11,373.0,12.433333333333334,6.338335657460036,11,11,373.0,0.2667720083969089,4.59096818752829,6.338335657460036,11,373.0,4.59096818752829
115.0,12,433.0,16.037037037037038,6.49116223136435,12,12,433.0,0.3077627350078708,5.384804221793352,6.49116223136435,12,433.0,5.384804221793352
120.0,12,493.0,18.25925925925926,6.77410481638056,12,12,493.0,0.3133755432079718,5.474902019915284,6.77410481638056,12,493.0,5.474902019915284
125.0,14,560.0,18.666666666666668,5.697971888199978,14,14,560.0,0.26733553301137547,4.585550764272813,5.697971888199978,14,560.0,4.585550764272813
130.0,11,391.0,13.482758620689655,6.37082207796132,11,11,391.0,0.3240379018765928,5.707635629768415,6.37082207796132,11,391.0,5.707635629768415
135.0,7,258.0,8.32258064516129,5.736614284390842,7,7,173.0,0.27549725731105207,5.036799429417779,5.736614284390842,7,173.0,5.036799429417779
140.0,8,294.0,9.8,7.362950293898397,8,8,294.0,0.3744847719284204,6.907397422752296,7.362950293898397,8,294.0,6.907397422752296
145.0,12,331.0,10.34375,6.463810081232909,12,12,331.0,0.3108519233100736,5.8257200346584,6.463810081232909,12,331.0,5.8257200346584
150.0,13,394.0,12.3125,6.8246838539610515,13,13,390.0,0.32249059023972426,6.007573944019542,6.8246838539610515,13,390.0,6.007573944019542
155.0,13,459.0,14.34375,6.816461870682581,13,13,459.0,0.30912616370501717,5.826588590391246,6.816461870682581,13,459.0,5.826588590391246
160.0,13,481.0,14.147058823529411,5.596253924719752,13,13,481.0,0.2214905158605106,4.289968461083065,5.596253924719752,13,481.0,4.289968461083065
165.0,10,499.0,14.676470588235293,6.794892436235327,10,10,486.0,0.31179154008635523,5.751235127749716,6.794892436235327,10,486.0,5.751235127749716
170.0,11,552.0,14.91891891891892,6.641583995379889,11,11,552.0,0.29756578753140234,5.309899010833255,6.641583995379889,11,552.0,5.309899010833255
175.0,13,612.0,16.54054054054054,6.655872380815466,13,13,612.0,0.28233354437289365,5.20658232276766,6.655872380815466,13,612.0,5.20658232276766
180.0,13,677.0,18.2972972972973,7.20896688334877,13,13,677.0,0.2972221895498799,5.567324422384206,7.20896688334877,13,677.0,5.567324422384206
185.0,15,748.0,18.7,6.201408699156675,15,15,748.0,0.22895044020856772,4.30414711977054,6.201408699156675,15,748.0,4.30414711977054
190.0,15,823.0,21.657894736842106,6.850897307521371,15,15,823.0,0.2866020356340754,5.395889772582359,6.850897307521371,15,823.0,5.395889772582359
195.0,17,901.0,23.102564102564102,5.719510182659132,17,17,901.0,0.21149450824330446,3.979739440997112,5.719510182659132,17,901.0,3.979739440997112
200.0,17,986.0,25.94736842105263,6.332204324455145,17,17,986.0,0.26369731255859913,4.958215911004325,6.332204324455145,17,986.0,4.958215911004325
205.0,21,1073.0,26.825,5.644921594525632,21,21,1073.0,0.21525798574887547,4.104057930564928,5.644921594525632,21,1073.0,4.104057930564928
210.0,19,1168.0,29.94871794871795,5.979823804108464,19,19,1168.0,0.2463361485000573,4.6310790766006615,5.979823804108464,19,1168.0,4.6310790766006615
215.0,16,913.0,24.026315789473685,5.955629241214107,16,16,913.0,0.23670870720849327,4.590545018741385,5.955629241214107,16,913.0,4.590545018741385
220.0,16,630.0,16.57894736842105,5.053207947070767,16,16,506.0,0.21212953711277366,3.9939298764422557,5.053207947070767,16,506.0,3.9939298764422557
225.0,11,597.0,16.135135135135137,6.131078554137238,11,11,597.0,0.2907623486566404,5.281177513652145,6.131078554137238,11,597.0,5.281177513652145
230.0,12,266.0,6.82051282051282,5.266435104135758,12,12,266.0,0.22640268683801523,4.235006800467549,5.266435104135758,12,266.0,4.235006800467549
235.0,17,329.0,8.435897435897436,5.893971143905796,17,17,143.0,0.24491651029456485,4.558874087277456,5.893971143905796,17,143.0,4.558874087277456
240.0,18,415.0,11.216216216216216,5.395991816809456,18,18,415.0,0.2331092942888904,3.996677802378386,5.395991816809456,18,415.0,3.996677802378386
245.0,17,469.0,11.725,5.167667289838368,17,17,469.0,0.20918110778589274,3.8323561820925742,5.167667289838368,17,469.0,3.8323561820925742
250.0,17,554.0,13.85,6.175421977727682,17,17,532.0,0.25505609647523003,4.70378566036214,6.175421977727682,17,532.0,4.70378566036214
255.0,19,643.0,14.953488372093023,5.934117906015694,19,19,643.0,0.2368220910480399,4.422657202379587,5.934117906015694,19,643.0,4.422657202379587
260.0,19,738.0,17.571428571428573,6.207081989184696,19,19,738.0,0.2473461995255408,4.663198490854089,6.207081989184696,19,738.0,4.663198490854089
265.0,24,836.0,18.57777777777778,5.757295134449955,24,24,836.0,0.17249089885837007,3.3439642401339054,5.757295134449955,24,836.0,3.3439642401339054
270.0,21,941.0,21.386363636363637,6.0186879986628075,21,21,941.0,0.21531384080552593,4.202337004289463,6.0186879986628075,21,941.0,4.202337004289463
275.0,21,1046.0,24.904761904761905,5.638532545713199,21,21,1046.0,0.20078517170024854,3.9694554952149432,5.638532545713199,21,1046.0,3.9694554952149432
