RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
2, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.335, 2.436 +/- 1.430, 28.455 +/- 35.803, 0.422 +/- 0.160, 7.821 +/- 2.903, 8.836 +/- 1.549,
2, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -2.639 +/- 1.485, 2.639 +/- 1.485, 32.735 +/- 38.925, 0.412 +/- 0.156, 7.608 +/- 2.822, 8.682 +/- 1.537,
3, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.620, 7.972 +/- 1.637, 122.042 +/- 50.662, 0.348 +/- 0.048, 6.473 +/- 0.835, 7.754 +/- 0.569,
3, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -144.046 +/- 24.799, 144.046 +/- 24.799, 3240.911 +/- 586.631, 0.038 +/- 0.033, 0.709 +/- 0.628, 1.265 +/- 0.718,
3, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.491, 4.798 +/- 1.760, 67.811 +/- 47.082, 0.389 +/- 0.086, 7.214 +/- 1.594, 8.280 +/- 1.001,
3, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -5.510 +/- 1.205, 5.510 +/- 1.205, 81.783 +/- 41.184, 0.360 +/- 0.063, 6.697 +/- 1.142, 7.917 +/- 0.695,
3, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.368, 7.209 +/- 2.155, 459.409 +/- 326.106, 0.330 +/- 0.076, 6.134 +/- 1.393, 7.517 +/- 0.906,
3, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -52.786 +/- 8.419, 52.786 +/- 8.419, 1205.129 +/- 214.509, 0.075 +/- 0.038, 1.395 +/- 0.718, 2.406 +/- 0.747,
3, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.646, 2.140 +/- 1.781, 104.239 +/- 184.097, 0.360 +/- 0.313, 6.620 +/- 6.125, 8.098 +/- 3.654,
3, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -1.198 +/- 1.039, 1.198 +/- 1.039, 12.352 +/- 20.117, 0.405 +/- 0.345, 7.459 +/- 6.726, 8.961 +/- 3.713,
3, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.971, 22.169 +/- 3.252, 441.267 +/- 108.123, 0.224 +/- 0.030, 4.159 +/- 0.547, 5.804 +/- 0.450,
3, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -201.620 +/- 24.327, 201.620 +/- 24.327, 4587.431 +/- 572.386, 0.027 +/- 0.026, 0.495 +/- 0.495, 0.891 +/- 0.541,
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.563, 6.782 +/- 1.389, 95.858 +/- 43.505, 0.374 +/- 0.051, 6.933 +/- 0.901, 8.074 +/- 0.599,
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -143.521 +/- 24.225, 143.521 +/- 24.225, 3231.695 +/- 575.681, 0.038 +/- 0.032, 0.704 +/- 0.597, 1.260 +/- 0.680,
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.278, 10.560 +/- 3.171, 428.540 +/- 315.055, 0.307 +/- 0.056, 5.708 +/- 1.015, 7.130 +/- 0.793,
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -124.038 +/- 21.725, 124.038 +/- 21.725, 2837.818 +/- 546.956, 0.042 +/- 0.032, 0.774 +/- 0.600, 1.384 +/- 0.665,
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.377, 2.807 +/- 1.506, 36.289 +/- 40.951, 0.402 +/- 0.153, 7.433 +/- 2.774, 8.579 +/- 1.530,
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -2.807 +/- 1.506, 2.807 +/- 1.506, 36.289 +/- 40.951, 0.402 +/- 0.153, 7.433 +/- 2.774, 8.579 +/- 1.530,
4, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.686, 8.175 +/- 1.751, 140.583 +/- 103.191, 0.342 +/- 0.051, 6.363 +/- 0.879, 7.679 +/- 0.570,
4, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -143.948 +/- 24.820, 143.948 +/- 24.820, 3238.428 +/- 587.128, 0.038 +/- 0.034, 0.710 +/- 0.626, 1.265 +/- 0.716,
4, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 1.371, 7.669 +/- 1.767, 475.055 +/- 312.706, 0.327 +/- 0.064, 6.036 +/- 1.184, 7.397 +/- 0.866,
4, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -5.059 +/- 1.237, 5.059 +/- 1.237, 71.631 +/- 40.119, 0.373 +/- 0.065, 6.945 +/- 1.188, 8.086 +/- 0.717,
4, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.493, 4.790 +/- 1.752, 68.116 +/- 47.625, 0.389 +/- 0.085, 7.223 +/- 1.586, 8.274 +/- 0.977,
4, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -54.069 +/- 8.815, 54.069 +/- 8.815, 1234.775 +/- 228.167, 0.073 +/- 0.039, 1.366 +/- 0.714, 2.361 +/- 0.737,
4, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.313, 4.191 +/- 1.792, 409.486 +/- 325.677, 0.246 +/- 0.218, 4.534 +/- 4.210, 6.237 +/- 3.113,
4, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -1.190 +/- 1.029, 1.190 +/- 1.029, 12.299 +/- 20.076, 0.407 +/- 0.345, 7.460 +/- 6.705, 8.947 +/- 3.697,
4, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.720, 9.886 +/- 1.968, 155.538 +/- 65.826, 0.349 +/- 0.042, 6.471 +/- 0.770, 7.754 +/- 0.538,
4, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -201.611 +/- 24.380, 201.611 +/- 24.380, 4587.266 +/- 572.914, 0.027 +/- 0.027, 0.496 +/- 0.499, 0.892 +/- 0.544,
4, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.628, 8.198 +/- 1.559, 127.096 +/- 49.711, 0.344 +/- 0.048, 6.392 +/- 0.825, 7.692 +/- 0.566,
4, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -143.037 +/- 24.223, 143.037 +/- 24.223, 3220.403 +/- 576.070, 0.038 +/- 0.032, 0.704 +/- 0.590, 1.262 +/- 0.671,
4, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.553, 6.443 +/- 1.507, 88.946 +/- 45.790, 0.381 +/- 0.051, 7.069 +/- 0.912, 8.167 +/- 0.600,
4, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -127.340 +/- 22.854, 127.340 +/- 22.854, 2913.536 +/- 566.818, 0.041 +/- 0.031, 0.757 +/- 0.586, 1.354 +/- 0.654,
4, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.375, 3.009 +/- 1.350, 39.256 +/- 32.270, 0.400 +/- 0.125, 7.431 +/- 2.394, 8.425 +/- 1.474,
4, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -2.896 +/- 1.513, 2.896 +/- 1.513, 38.303 +/- 41.990, 0.397 +/- 0.151, 7.340 +/- 2.735, 8.523 +/- 1.505,
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.593, 7.498 +/- 1.544, 110.495 +/- 49.250, 0.358 +/- 0.048, 6.653 +/- 0.830, 7.882 +/- 0.551,
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980 +/- 24.092, 143.980 +/- 24.092, 3239.376 +/- 571.216, 0.038 +/- 0.031, 0.699 +/- 0.575, 1.254 +/- 0.658,
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.498, 4.295 +/- 1.778, 67.594 +/- 90.912, 0.404 +/- 0.092, 7.509 +/- 1.700, 8.475 +/- 1.026,
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234 +/- 1.238, 5.234 +/- 1.238, 75.529 +/- 40.789, 0.368 +/- 0.065, 6.846 +/- 1.176, 8.021 +/- 0.714,
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.308, 7.519 +/- 2.140, 437.382 +/- 306.908, 0.323 +/- 0.082, 6.000 +/- 1.419, 7.413 +/- 0.883,
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465 +/- 8.776, 53.465 +/- 8.776, 1221.087 +/- 224.834, 0.074 +/- 0.040, 1.383 +/- 0.736, 2.385 +/- 0.760,
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 1.181, 3.137 +/- 2.013, 319.794 +/- 335.188, 0.296 +/- 0.267, 5.463 +/- 5.206, 7.037 +/- 3.583,
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193 +/- 1.035, 1.193 +/- 1.035, 12.362 +/- 20.136, 0.405 +/- 0.345, 7.449 +/- 6.731, 8.962 +/- 3.703,
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.993, 33.601 +/- 3.524, 704.420 +/- 116.144, 0.168 +/- 0.024, 3.124 +/- 0.432, 4.706 +/- 0.363,
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570 +/- 24.659, 201.570 +/- 24.659, 4586.268 +/- 579.770, 0.027 +/- 0.027, 0.498 +/- 0.514, 0.894 +/- 0.562,
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.634, 7.981 +/- 1.578, 123.547 +/- 58.071, 0.349 +/- 0.048, 6.469 +/- 0.840, 7.745 +/- 0.578,
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.085 +/- 24.234, 143.085 +/- 24.234, 3221.752 +/- 576.429, 0.038 +/- 0.032, 0.705 +/- 0.592, 1.262 +/- 0.672,
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.414, 8.633 +/- 1.634, 502.341 +/- 341.892, 0.346 +/- 0.050, 6.406 +/- 0.922, 7.691 +/- 0.646,
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -126.968 +/- 23.340, 126.968 +/- 23.340, 2905.259 +/- 573.643, 0.041 +/- 0.031, 0.759 +/- 0.584, 1.359 +/- 0.654,
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.373, 2.906 +/- 0.859, 34.670 +/- 30.143, 0.398 +/- 0.082, 7.352 +/- 1.636, 8.382 +/- 1.010,
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -2.526 +/- 1.456, 2.526 +/- 1.456, 30.235 +/- 37.157, 0.418 +/- 0.157, 7.728 +/- 2.852, 8.769 +/- 1.547,
