step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0.0,0.1672881789034864,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0.0,0.3763984025328443,0,0.0,0.0
15.0,0,0.0,0.0,7.085714285714287,0,0.0,0.3699258626568042,0,0.0,0.0
20.0,0,0.0,0.0,11.085714285714287,0,0.0,0.5777911811410157,0,0.0,0.0
25.0,3,0.0,0.0,10.269593776669394,3,0.0,0.5335290161793647,3,0.0,0.0
30.0,0,0.0,0.0,12.979575408167374,0,0.0,0.6732900156398731,0,0.0,0.0
35.0,0,0.0,0.0,14.42819970048833,0,0.0,0.7515023824144536,0,0.0,0.0
40.0,2,4.0,0.3076923076923077,8.687038602605707,2,4.0,0.4647540964005504,2,4.0,-0.04
45.0,3,19.0,1.4615384615384615,10.297979686469425,3,19.0,0.5374590324769116,3,19.0,-0.15
50.0,2,22.0,1.375,7.41271191061122,2,22.0,0.391643654768606,2,22.0,-0.03
55.0,4,42.0,2.625,8.489056396790046,4,35.0,0.4400926883925174,4,35.0,-0.12999999999999998
60.0,4,62.0,3.875,9.59895533912701,4,62.0,0.48320651888495136,4,62.0,-0.27
65.0,6,86.0,4.3,7.359919167905711,6,86.0,0.352267073770205,6,86.0,-0.24
70.0,5,84.0,4.2,8.743439469851221,5,84.0,0.4439789429937039,5,84.0,0.020000000000000018
75.0,7,113.0,4.913043478260869,6.928145820577376,7,86.0,0.32036638629996567,7,86.0,-0.020000000000000018
80.0,8,153.0,6.6521739130434785,8.03768881475985,8,153.0,0.39006436072336453,8,153.0,-0.67
85.0,8,90.0,3.4615384615384617,6.912800014295072,8,90.0,0.32725257317536505,8,90.0,0.63
90.0,6,106.0,4.076923076923077,7.995208021083117,6,66.0,0.4043203989724587,6,66.0,0.24
95.0,6,136.0,5.44,8.82804626349023,6,136.0,0.47271484808688197,6,136.0,-0.7000000000000001
100.0,7,134.0,4.785714285714286,6.653835281198295,7,134.0,0.311358549037141,7,134.0,0.020000000000000018
105.0,7,169.0,6.2592592592592595,7.806239382307614,7,149.0,0.3913172860969847,7,149.0,-0.1499999999999999
110.0,8,205.0,6.833333333333333,7.114925630277275,8,205.0,0.31014379960656885,8,205.0,-0.5599999999999998
115.0,6,91.0,3.25,7.148005768686588,6,91.0,0.35511137728767717,6,91.0,1.1399999999999997
120.0,3,52.0,1.8571428571428572,8.643047915494506,3,-8.0,0.4590899457884123,3,-8.0,0.99
125.0,5,70.0,2.2580645161290325,8.116713916872161,5,70.0,0.3981516319867725,5,70.0,-0.7799999999999999
130.0,6,93.0,3.0,8.611664985209472,6,93.0,0.4377595452235113,6,93.0,-0.2300000000000001
135.0,8,126.0,3.7058823529411766,7.781091727962259,8,124.0,0.3530625758688831,8,124.0,-0.30999999999999994
140.0,8,166.0,4.882352941176471,8.573388025402245,8,166.0,0.41107471284628455,8,166.0,-0.41999999999999993
145.0,8,105.0,2.9166666666666665,7.979054057651331,8,105.0,0.35337123990834013,8,105.0,0.6099999999999999
150.0,6,121.0,3.6666666666666665,8.448188376619077,6,80.0,0.4065140615811921,6,80.0,0.25
155.0,6,151.0,4.71875,9.230434383619421,6,151.0,0.4822518126436431,6,151.0,-0.71
160.0,7,123.0,3.6176470588235294,7.474550330919623,7,123.0,0.31977875624291147,7,123.0,0.28
165.0,8,161.0,5.03125,8.203310497166985,8,104.0,0.3734306549708009,8,104.0,0.18999999999999995
170.0,8,201.0,6.090909090909091,7.0451832737551054,8,201.0,0.2930471288191574,8,201.0,-0.9699999999999998
175.0,9,237.0,7.181818181818182,7.7507907135060155,9,237.0,0.33191161871164243,9,237.0,-0.3600000000000003
180.0,9,282.0,9.4,7.166384748000327,9,274.0,0.3118677228007741,9,274.0,-0.3700000000000001
185.0,11,336.0,10.181818181818182,6.594263719677593,11,336.0,0.3035044612771559,11,336.0,-0.6199999999999997
