step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16365528774471566,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3682243974256102,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.36475163539936695,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5752509192775745,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.162006773512221,3,3,0.0,0.5268149462430222,10.162006773512221,10.162006773512221,3,0.0,10.162006773512221
30.0,0,0.0,0.0,13.156950231324373,0,0,0.0,0.6878639758536933,13.15695023132437,13.156950231324373,0,0.0,13.15695023132437
35.0,0,0.0,0.0,14.487510338401188,0,0,0.0,0.7726113150243464,14.487510338401188,14.487510338401188,0,0.0,14.487510338401188
40.0,1,2.0,0.15384615384615385,8.636811908635165,1,1,2.0,0.48473019462120387,8.728690425718012,8.636811908635165,1,2.0,8.728690425718012
45.0,2,12.0,0.9230769230769231,10.16035934423218,2,2,12.0,0.615541530809624,11.154643275498167,10.16035934423218,2,12.0,11.154643275498167
50.0,2,22.0,1.375,8.430266033907376,2,2,22.0,0.492762369156563,8.260044073198634,8.430266033907376,2,22.0,8.260044073198634
55.0,4,39.0,2.4375,8.54600700985906,4,4,39.0,0.477475138735536,8.187176044475022,8.54600700985906,4,39.0,8.187176044475022
60.0,4,59.0,3.6875,10.13652687244674,4,4,59.0,0.5714928193628002,10.148001273140627,10.13652687244674,4,59.0,10.148001273140627
65.0,6,82.0,4.1,7.577211505544551,6,6,82.0,0.3954521870900787,6.895274541983312,7.577211505544551,6,82.0,6.895274541983312
70.0,6,112.0,5.6,8.345271041799894,6,6,112.0,0.45330792020526123,7.777777673010203,8.345271041799894,6,112.0,7.777777673010203
75.0,8,145.0,6.304347826086956,6.592888446010732,8,8,145.0,0.3611319908931711,5.7311483528093285,6.592888446010732,8,145.0,5.7311483528093285
80.0,5,97.0,4.217391304347826,7.887565424263772,5,5,97.0,0.4585465589433453,7.537421097551753,7.887565424263772,5,97.0,7.537421097551753
85.0,7,111.0,4.44,8.061366480762588,7,7,74.0,0.47510803135386837,8.012499546341065,8.061366480762588,7,74.0,8.012499546341065
90.0,5,132.0,5.28,8.055935041222536,5,5,132.0,0.4388740723236513,7.616397894237449,8.055935041222536,5,132.0,7.616397894237449
95.0,5,107.0,4.28,8.85638298765888,5,5,107.0,0.5107143883884292,9.20884030473321,8.85638298765888,5,107.0,9.20884030473321
100.0,6,134.0,4.785714285714286,7.779687160141393,6,6,84.0,0.3743443587426545,6.653765655432279,7.779687160141393,6,84.0,6.653765655432279
105.0,8,173.0,6.178571428571429,8.135091112636855,8,8,173.0,0.39203209217692736,7.211377004450543,8.135091112636855,8,173.0,7.211377004450543
110.0,7,183.0,6.310344827586207,6.814714827871668,7,7,183.0,0.28948690192080756,5.551231257066417,6.814714827871668,7,183.0,5.551231257066417
115.0,8,221.0,7.620689655172414,7.688617588913134,8,8,205.0,0.3641178051415578,6.695228369946346,7.688617588913134,8,205.0,6.695228369946346
120.0,8,261.0,9.321428571428571,7.943965920711245,8,8,261.0,0.38482407690490644,7.011020387143756,7.943965920711245,8,261.0,7.011020387143756
125.0,10,308.0,9.625,7.033374453117961,10,10,308.0,0.2903608488670629,5.622293901860393,7.033374453117961,10,308.0,5.622293901860393
130.0,10,358.0,11.1875,7.656882039228463,10,10,358.0,0.33707167591194576,6.418992081778548,7.656882039228463,10,358.0,6.418992081778548
135.0,13,413.0,12.515151515151516,6.121451887530561,13,13,413.0,0.24641863550314053,4.530498319507527,6.121451887530561,13,413.0,4.530498319507527
140.0,13,478.0,14.9375,6.828033454432586,13,13,478.0,0.31283173227231736,5.747889623855355,6.828033454432586,13,478.0,5.747889623855355
145.0,15,543.0,15.970588235294118,6.071743639080486,15,15,543.0,0.26021861119347844,4.805956528378777,6.071743639080486,15,543.0,4.805956528378777
150.0,13,360.0,10.909090909090908,6.04793983174898,13,13,360.0,0.2820543204282528,5.194012534281744,6.04793983174898,13,360.0,5.194012534281744
155.0,8,200.0,6.451612903225806,6.6840761587957624,8,8,108.0,0.3580220531519245,6.216262449980089,6.6840761587957624,8,108.0,6.216262449980089
160.0,10,231.0,7.0,5.911298555544464,10,10,231.0,0.32112476017147784,5.271973938014592,5.911298555544464,10,231.0,5.271973938014592
165.0,12,281.0,8.515151515151516,6.139848753427031,12,12,281.0,0.31893403140270316,5.439811490149353,6.139848753427031,12,281.0,5.439811490149353
170.0,15,351.0,9.75,4.988971330734752,15,15,350.0,0.21491414221613112,3.703130086393579,4.988971330734752,15,350.0,3.703130086393579
175.0,17,435.0,12.794117647058824,5.303136228526659,17,17,435.0,0.2433094634251576,4.2508879023613995,5.303136228526659,17,435.0,4.2508879023613995
180.0,14,419.0,13.09375,5.415941060146771,14,14,419.0,0.2625254738009963,4.674902402549251,5.415941060146771,14,419.0,4.674902402549251
185.0,15,481.0,13.36111111111111,5.099371520814071,15,15,440.0,0.23913543695024747,4.262885321472998,5.099371520814071,15,440.0,4.262885321472998
190.0,15,556.0,15.444444444444445,6.124420941431936,15,15,556.0,0.30347263142348846,5.351458603419964,6.124420941431936,15,556.0,5.351458603419964
195.0,13,538.0,13.794871794871796,5.380051297580961,13,13,538.0,0.23547482108608386,4.351336531125771,5.380051297580961,13,538.0,4.351336531125771
200.0,10,489.0,12.538461538461538,6.816880130522729,10,10,461.0,0.30733316272399747,5.7913610836683445,6.816880130522729,10,461.0,5.7913610836683445
205.0,13,539.0,12.833333333333334,6.738879471478981,13,13,539.0,0.2944518539222557,5.48117346386682,6.738879471478981,13,539.0,5.48117346386682
210.0,12,309.0,7.357142857142857,6.87362862818274,12,12,309.0,0.2796637501446624,5.5633091424665935,6.87362862818274,12,309.0,5.5633091424665935
215.0,8,88.0,2.2,7.234763598014479,8,8,-16.0,0.30416634936431797,5.737413892070987,7.234763598014479,8,-16.0,5.737413892070987
220.0,9,92.0,2.2439024390243905,7.064624356495825,9,9,92.0,0.31560811158205404,5.689406201286712,7.064624356495825,9,92.0,5.689406201286712
225.0,11,137.0,3.425,7.134328173451729,11,11,137.0,0.30194899230713285,5.769310067868567,7.134328173451729,11,137.0,5.769310067868567
230.0,16,207.0,4.928571428571429,5.90020188697225,16,16,206.0,0.19121125425363747,3.6892535909068433,5.90020188697225,16,206.0,3.6892535909068433
235.0,17,292.0,7.121951219512195,6.358013943015306,17,17,292.0,0.23091051398652457,4.500021801697783,6.358013943015306,17,292.0,4.500021801697783
240.0,14,276.0,6.9,6.049871048002755,14,14,276.0,0.19956184068509714,4.007208671695403,6.049871048002755,14,276.0,4.007208671695403
245.0,15,340.0,8.095238095238095,6.106907346661956,15,15,300.0,0.24123534850451672,4.603354808211641,6.106907346661956,15,300.0,4.603354808211641
250.0,15,415.0,10.121951219512194,6.413420733277796,15,15,415.0,0.27555473356158916,5.00503658254547,6.413420733277796,15,415.0,5.00503658254547
255.0,18,498.0,11.857142857142858,5.5597568127208294,18,18,498.0,0.22409798049477916,4.020983910711807,5.5597568127208294,18,498.0,4.020983910711807
260.0,18,588.0,14.341463414634147,6.27495449937889,18,18,588.0,0.2553591325223354,4.7706758039781425,6.27495449937889,18,588.0,4.7706758039781425
265.0,22,680.0,15.813953488372093,5.291310701242703,22,22,680.0,0.18982886432686902,3.524661688313955,5.291310701242703,22,680.0,3.524661688313955
270.0,19,764.0,18.19047619047619,5.7317607511898085,19,19,764.0,0.22977289187964575,4.287501957881138,5.7317607511898085,19,764.0,4.287501957881138
275.0,19,859.0,21.475,5.711339728269726,19,19,848.0,0.2422669088178465,4.4216875107555085,5.711339728269726,19,848.0,4.4216875107555085
280.0,23,963.0,24.075,4.575017033774739,23,23,963.0,0.19721669503712538,3.5323285366730577,4.575017033774739,23,963.0,3.5323285366730577
285.0,22,1073.0,27.512820512820515,4.789241024156149,22,22,1073.0,0.1980940245651297,3.7152831287689305,4.789241024156149,22,1073.0,3.7152831287689305
290.0,24,1188.0,28.285714285714285,4.495848828626781,24,24,1188.0,0.16010072762875419,3.0656354547398195,4.495848828626781,24,1188.0,3.0656354547398195
295.0,21,1092.0,26.0,4.984978538811131,21,21,1092.0,0.1861346776316856,3.656832185093968,4.984978538811131,21,1092.0,3.656832185093968
