step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.13598050056595765,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.29369075401494255,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.35730077628066925,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.5240571145534616,0,0.0,0.0
25.0,1,0.0,0.0,10.297096066963142,1,0.0,0.5331299320715899,1,0.0,0.0
30.0,0,0.0,0.0,12.71282401689053,0,0.0,0.6572077576773347,0,0.0,0.0
35.0,0,0.0,0.0,12.670384939627931,0,0.0,0.6578375058403807,0,0.0,0.0
40.0,3,4.0,0.18181818181818182,11.766878484342344,3,4.0,0.6058446271780481,3,4.0,-0.04
45.0,3,13.0,0.48148148148148145,10.364292664589627,3,13.0,0.5844170784886787,3,13.0,-0.09
50.0,5,30.0,1.0714285714285714,9.496571551575459,5,32.0,0.5237727401143071,5,32.0,-0.19
55.0,6,60.0,1.875,9.176461289360354,6,60.0,0.49863671835439444,6,60.0,-0.27999999999999997
60.0,7,65.0,1.9696969696969697,8.287883440493284,7,76.0,0.4433903573955212,7,76.0,-0.16000000000000003
65.0,10,109.0,2.8684210526315788,8.109707776909532,10,111.0,0.42565863689620814,10,111.0,-0.3500000000000001
70.0,12,162.0,4.153846153846154,7.648971598199061,12,162.0,0.3925640092242477,12,162.0,-0.51
75.0,12,151.0,3.511627906976744,7.667318187280011,12,192.0,0.3894525845870393,12,192.0,-0.2999999999999998
80.0,13,201.0,4.568181818181818,7.49875925413673,13,229.0,0.34685084731537846,13,229.0,-0.3700000000000001
85.0,16,273.0,5.571428571428571,7.458813798342301,16,273.0,0.3560992053918748,16,273.0,-0.43999999999999995
90.0,18,356.0,7.12,7.01971702424499,18,356.0,0.3362346216300626,18,356.0,-0.8300000000000001
95.0,17,318.0,5.888888888888889,6.91583869254273,17,400.0,0.3139558107673586,17,400.0,-0.43999999999999995
100.0,16,239.0,4.509433962264151,6.897527000274237,16,399.0,0.311300539532201,16,399.0,0.009999999999999787
105.0,13,216.0,3.789473684210526,7.101778420215227,13,395.0,0.33533950973772253,13,395.0,0.040000000000000036
110.0,13,239.0,4.267857142857143,7.057963760931047,13,447.0,0.33077173678745964,13,447.0,-0.5199999999999996
115.0,19,319.0,5.406779661016949,6.806037481454867,19,529.0,0.3135680696581148,19,529.0,-0.8200000000000003
