step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16145394373001826,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.363271373392541,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0.0
15.0,0,0.0,0.0,11.200000000000001,0,0,0.0,0.5650888030550639,11.200000000000001,11.200000000000001,4491.799555555557,57.659733333333364,1.930834141958671,65.13597665795827,4491.799555555557,57.659733333333364,1.930834141958671,65.13597665795827,0,0.0,0.0
20.0,0,0.0,0.0,15.200000000000005,0,0,0.0,0.7669062327175868,15.200000000000005,15.200000000000005,5635.892888888892,54.63351111111117,2.422612518718181,67.5456471500465,5635.892888888892,54.63351111111117,2.422612518718181,67.5456471500465,0,0.0,0.0
25.0,0,0.0,0.0,18.61607110560111,0,0,0.0,0.9340984817455176,18.616071105601115,18.61607110560111,5940.678021089498,52.612133333333375,2.5536226190501132,69.04853172837106,5940.678021089497,52.612133333333375,2.5536226190501137,69.04853172837106,0,0.0,0.0
30.0,0,0.0,0.0,20.048019006494627,0,0,0.0,1.0,20.048019006494627,20.048019006494627,3212.335911097059,0.0,1.3808520315748611,68.54576295809302,3212.335911097059,0.0,1.3808520315748611,68.54576295809304,0,0.0,0.0
35.0,0,0.0,0.0,16.63714706252311,0,0,0.0,0.8442347510323802,16.63714706252311,16.63714706252311,1441.747380281853,0.0,0.6197494469405239,64.94481476545235,1441.747380281853,0.0,0.6197494469405239,64.94481476545235,0,0.0,0.0
40.0,2,4.0,1.0,3.3257876187224475,2,2,4.0,0.08627525311247726,1.4549704071037501,3.3257876187224475,1749.8148148148148,109.85185185185186,0.752221223919337,52.987967528964454,2301.376024671249,99.28321978397007,0.989304613691872,55.68817380496628,2,4.0,-0.04
45.0,3,19.0,4.75,2.3366901866053658,3,3,19.0,0.0,0.0,2.3366901866053658,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2980.262264375065,139.92016033734592,1.2811471938711323,57.96241009841657,3,19.0,-0.15
50.0,2,22.0,5.5,3.4008078911911324,2,2,22.0,0.0,0.0,3.4008078911911324,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2566.20947842163,117.17304923978696,1.1031618643174064,58.73560210040647,2,22.0,-0.03
55.0,2,32.0,8.0,4.400807891191132,2,2,25.0,0.13427653724043628,2.1333333333333333,4.400807891191132,2899.9719999999998,138.44082962962966,1.2466344015174202,58.07866977989235,2714.0728117549634,106.2182714620092,1.1667150239460375,59.22128837088501,2,25.0,-0.03
60.0,2,42.0,10.5,4.195807891191126,2,2,42.0,0.11707235590650483,1.8599999999999912,4.195807891191126,1749.8148148148148,109.85185185185186,0.752221223919337,53.97188417612142,1851.4549228660746,84.77653812867585,0.7959051407474752,56.141199168056815,2,42.0,-0.16999999999999998
65.0,1,25.0,3.125,4.497903945595563,1,1,25.0,0.13288032697406302,2.56,4.497903945595563,2890.7147555555557,128.42663111111113,1.242650901467505,59.79948520002142,2946.1098178219254,105.67883053656017,1.2664531389197093,60.778243160204674,1,25.0,0.16999999999999998
70.0,1,30.0,3.75,7.3888790492032825,1,1,8.0,0.31862252515591866,5.866666666666666,7.3888790492032825,3411.803111111111,94.57623703703705,1.466622022561645,61.57880949497968,3108.8451704157724,72.12600239767127,1.3363902017978377,61.98181828885157,1,8.0,0.16999999999999998
75.0,1,35.0,4.375,9.28637904920328,1,1,35.0,0.448138443685375,8.396666666666663,9.28637904920328,3431.986740740742,65.90278518518521,1.475278067285615,61.086547125014825,3123.982892637996,50.62091350878238,1.3428822353408154,61.61262151137794,1,35.0,-0.26999999999999996
80.0,1,40.0,5.0,11.786379049203283,1,1,40.0,0.6311815531267995,12.160000000000004,11.786379049203283,5033.658755555558,76.66236444444449,2.163756382150346,65.22457300205888,4208.518471249107,57.12790831433797,1.809069776034137,64.58390225641875,1,40.0,-0.050000000000000044
85.0,1,45.0,5.625,13.829947706454398,1,1,45.0,0.7693565721350609,14.889523689218928,13.829947706454398,5277.037251815214,75.04526222222225,2.2683712001153706,66.42470159152006,4125.043413590885,48.383049958071794,1.7731866523580444,65.24153348545835,1,45.0,-0.04999999999999999
90.0,1,50.0,7.142857142857143,14.651049870402305,1,1,50.0,0.8,15.51372349040803,14.651049870402305,2987.6717225049856,32.95555555555556,1.2842927246437763,65.71873147905478,2771.020630736583,23.86646705315614,1.1911634214677849,65.10761045392535,1,50.0,-0.04999999999999999
95.0,1,55.0,7.857142857142857,13.169541629065261,1,1,55.0,0.6978298215067814,13.439611952536165,13.169541629065261,1058.3255184818784,32.95555555555556,0.4549460069437604,62.925406681148594,1392.9161992915065,23.86646705315614,0.5987729088249166,63.11237845542093,1,55.0,-0.050000000000000044
100.0,3,64.0,10.666666666666666,4.4053692358535965,3,3,64.0,0.18358214270616552,2.830256920641464,4.4053692358535965,2400.4794133412265,111.57873493626587,1.0319109628213834,55.869807067419245,2369.602569949604,93.36352771260742,1.0186337588969312,57.12935098703806,3,64.0,-0.08999999999999997
105.0,4,84.0,14.0,3.5849377464687144,4,4,84.0,0.12438335674163545,1.845739133379605,3.5849377464687144,2656.909335897237,139.93251908233952,1.1421572563418911,57.18058739089109,2583.2941720796125,116.9916811676688,1.110505670164021,58.2216679232646,4,84.0,-0.19999999999999996
110.0,4,104.0,17.333333333333332,3.368271079802047,4,4,104.0,0.0,0.0,3.368271079802047,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2742.827104217657,122.55271688942308,1.1790814010606365,58.39888973616979,4,104.0,-0.20000000000000007
115.0,3,109.0,18.166666666666668,4.42501457123787,3,3,109.0,0.0,0.0,4.42501457123787,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2904.982200145838,113.04605722927113,1.2487784945450096,59.500200689914244,3,109.0,-0.050000000000000044
120.0,3,124.0,24.8,3.6538313231025925,3,3,114.0,0.1329154540421505,1.5999999999999999,3.6538313231025925,2831.1595555555555,145.0250666666667,1.2170587601078164,57.544071437446355,2703.0441743751408,117.00080038969409,1.1619788326941773,58.66142155171324,3,114.0,-0.04999999999999982
125.0,3,139.0,15.444444444444445,3.361017401723659,3,3,139.0,0.14149695752400718,2.2974999999999968,3.361017401723659,2462.8772777777776,121.46108888888891,1.058739772386942,57.61413481605892,2432.6223190973,108.510271821435,1.0457308113483508,58.227100059694685,3,139.0,-0.25
130.0,3,154.0,17.11111111111111,5.5832396239458815,3,3,154.0,0.21485346885644777,4.114285714285714,5.5832396239458815,3181.398793650794,115.89229206349208,1.3675937534762332,59.85685046723351,3173.3650556405096,97.81229189550908,1.3641335795424205,60.699493219948494,3,154.0,-0.15000000000000013
135.0,2,132.0,14.666666666666666,7.633067247037513,2,2,132.0,0.3899192582950349,7.466666666666668,7.633067247037513,3869.440444444446,93.36574814814817,1.6633333732654494,62.0707432420083,3374.380520139832,79.69649245745128,1.4505314044688846,61.94144176578132,2,132.0,0.21999999999999997
140.0,2,142.0,15.777777777777779,9.855289469259738,2,2,110.0,0.5174116979795476,9.600000000000003,9.855289469259738,4463.355365079367,90.55093333333339,1.918621897060712,63.48837113426615,3948.583483102795,73.48271467967352,1.6973454206413916,63.22826699358877,2,110.0,0.21999999999999997
145.0,2,152.0,16.88888888888889,11.346083114783456,2,2,152.0,0.6150139506718804,11.516734687101925,11.346083114783456,3456.0224621338834,62.42696399851515,1.4856124262710988,62.314244150321834,3165.1023363674194,51.60851630814824,1.3605602766939147,62.31505711718765,2,152.0,-0.41999999999999993
150.0,2,162.0,20.25,12.00215408989168,2,2,162.0,0.6666666666666666,12.80146401855147,12.00215408989168,2899.0113690806866,54.92592592592593,1.2461907169056226,64.01773299931212,2949.6450815944727,52.0375707988517,1.2679534379062738,63.72225558620612,2,162.0,-0.10000000000000009
155.0,2,172.0,21.5,12.155019588796865,2,2,172.0,0.6607819462437962,12.692524583381006,12.155019588796865,2413.5147009202237,54.92592592592593,1.0374952609917638,63.77801009285281,2344.1046452322134,44.98275087880028,1.0076581378572267,63.37571762246144,2,172.0,-0.09999999999999987
160.0,5,186.0,23.25,3.401353004224263,5,5,186.0,0.0,0.0,3.401353004224263,1574.8333333333333,98.86666666666667,0.6769991015274034,50.980548981422146,1943.4782466707456,76.60230208752617,0.8354569955559764,55.18110000696261,5,186.0,-0.14000000000000012
165.0,5,211.0,26.375,3.5226608718163765,5,5,211.0,0.0,0.0,3.5226608718163765,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2621.8067996720097,116.77867986142294,1.127059658580756,58.346960284167935,5,211.0,-0.24999999999999978
170.0,4,225.0,28.125,4.322660871816376,4,4,225.0,0.0,0.0,4.322660871816376,2624.722222222222,164.7777777777778,1.1283318358790055,55.94027641010837,2761.8912467895475,109.62355636604137,1.1872707726001788,59.198120933564795,4,225.0,-0.14000000000000012
175.0,4,245.0,30.625,4.933793170684487,4,4,239.0,0.09481547706281399,1.2799999999999998,4.933793170684487,2789.872088888889,148.97560888888893,1.1993133752620542,57.223312431978755,2552.296659561118,97.4162718666583,1.0971738951319245,59.20859889040135,4,239.0,-0.14000000000000012
180.0,4,265.0,37.857142857142854,4.145985251093032,4,4,265.0,0.08266724406414054,1.1159999999999948,4.145985251093032,2099.777777777778,131.82222222222225,0.9026654687032044,54.7592410697162,2123.531511173897,95.85415401400124,0.912865034993318,57.12049304546328,4,265.0,-0.2599999999999998
185.0,1,26.0,2.3636363636363638,4.601990614331927,1,1,26.0,0.12026083664280372,2.171428571428568,4.601990614331927,2845.316888888888,133.5733714285715,1.2231392119111792,59.834226330156405,2840.1799481207613,103.69349625133417,1.2209196452367015,60.86056412894764,1,26.0,2.3899999999999997
190.0,1,31.0,3.1,6.8383316890812225,1,1,-109.0,0.36298409654424,5.8285714285714265,6.8383316890812225,3397.5576507936503,94.3578285714286,1.4604986266204592,61.62919003289136,3130.2879520793213,77.8349983575119,1.3456092140289464,61.849794287720144,1,-109.0,1.35
195.0,1,36.0,3.6,9.105931689081244,1,1,36.0,0.5216945512910589,8.568571428571424,9.105931689081244,3528.05980952381,65.63982222222225,1.5165752620545077,61.52825606808983,3285.1222550837715,54.77286055128951,1.4121491629142442,61.9683036310967,1,36.0,-1.4500000000000002
200.0,0,0.0,0.0,11.207466537566088,0,0,0.0,0.852903398057221,15.200000000000005,11.207466537566088,5635.892888888892,54.63351111111117,2.422612518718181,67.5456471500465,4146.201445325061,57.274533865346655,1.7822828679853775,64.71194245425133,0,0.0,0.36
205.0,0,0.0,0.0,13.001772408304694,0,0,-36.0,0.8957164329109872,15.571523145787944,13.001772408304694,3748.4273535763737,31.183288888888903,1.6112936022699458,66.60600797990955,2518.1752351566374,19.51888118230583,1.0824657758855671,64.28121599086388,0,-36.0,0.36
210.0,0,0.0,0.0,12.994865449938649,0,0,0.0,0.8847447444282904,15.436186854127794,12.994865449938649,2262.518562671032,0.0,0.9725665270040359,63.79811957690085,1728.3271690368372,3.9029653738487236,0.7429435149653583,62.87045122667673,0,0.0,-0.36
