step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.18233271276452262,3.2,3.2,0,0.0,0
10.0,0,0.0,0.0,6.3999999999999995,0,0,0.0,0.3592263563825141,6.3999999999999995,6.3999999999999995,0,0.0,0
15.0,0,0.0,0.0,9.200000000000001,0,0,0.0,0.508196611432279,9.200000000000001,9.200000000000001,0,0.0,0
20.0,0,0.0,0.0,11.771428571428574,0,0,0.0,0.6423375515841007,11.771428571428574,11.771428571428574,0,0.0,0
25.0,0,0.0,0.0,13.301477179185172,0,0,0.0,0.7123143017004127,13.301477179185172,13.301477179185172,0,0.0,0
30.0,0,0.0,0.0,11.370925800304766,0,0,0.0,0.5977947355765554,11.370925800304766,11.370925800304766,0,0.0,0
35.0,0,0.0,0.0,13.005999273029612,0,0,0.0,0.6798723451452736,13.005999273029614,13.005999273029612,0,0.0,0
40.0,0,0.0,0.0,11.153774297226622,0,0,0.0,0.5914027507392148,11.458234637518519,11.153774297226622,0,0.0,0
45.0,2,10.0,0.6666666666666666,9.70340041265876,2,2,11.0,0.5476838658165575,10.640374315807906,9.70340041265876,2,11.0,-2
50.0,2,20.0,1.25,11.047331678624303,2,2,20.0,0.6024824722551093,11.480797626686444,11.047331678624303,2,20.0,-2
55.0,3,32.0,1.6,9.275722168795298,3,3,32.0,0.48724852834723315,9.385390684335215,9.275722168795298,3,32.0,-3
60.0,4,49.0,2.3333333333333335,9.068874932602546,4,4,49.0,0.46919789306969295,8.984286695650692,9.068874932602546,4,49.0,-4
65.0,7,75.0,3.409090909090909,7.969789123493257,7,7,75.0,0.39545284461003793,7.4154669978640335,7.969789123493257,7,75.0,-7
70.0,5,73.0,3.1739130434782608,8.532194508834996,5,5,78.0,0.4353413603216505,8.418195543445838,8.532194508834996,5,78.0,-5
75.0,7,105.0,4.375,8.551052548988503,7,7,107.0,0.4227793100924951,8.19687353292741,8.551052548988503,7,107.0,-7
80.0,8,143.0,5.107142857142857,7.762918277793316,8,8,143.0,0.3820649952616346,7.325603247594232,7.762918277793316,8,143.0,-8
85.0,9,187.0,6.448275862068965,7.6544994973124725,9,9,187.0,0.3556623344973062,7.041911378153586,7.6544994973124725,9,187.0,-9
90.0,9,161.0,5.551724137931035,6.419388542626629,9,9,187.0,0.2880556706887848,5.630816078940728,6.419388542626629,9,187.0,-9
95.0,10,210.0,7.0,6.864288450696187,10,10,212.0,0.3281362539704306,6.124227478755415,6.864288450696187,10,212.0,-10
100.0,11,265.0,8.548387096774194,7.255327981681095,11,11,265.0,0.3439209031059728,6.45871627564306,7.255327981681095,11,265.0,-11
105.0,9,184.0,5.257142857142857,6.959642731843242,9,9,270.0,0.30962786823023264,6.126171652477751,6.959642731843242,9,270.0,-9
110.0,5,71.0,2.088235294117647,7.671749417443804,5,5,221.0,0.35945002413950694,6.975491454358474,7.671749417443804,5,221.0,-5
115.0,5,32.0,0.9411764705882353,7.2185578043165455,5,5,171.0,0.3372409150715907,6.339815421416904,7.2185578043165455,5,171.0,-5
120.0,6,50.0,1.4705882352941178,7.416199510076227,6,6,190.0,0.35979503947084757,6.774309827672348,7.416199510076227,6,190.0,-6
125.0,11,95.0,2.7142857142857144,7.418185028110366,11,11,237.0,0.32026476029612694,6.231841980684589,7.418185028110366,11,237.0,-11
130.0,14,162.0,4.2631578947368425,6.743860771006631,14,14,302.0,0.2791074161226259,5.434236789364342,6.743860771006631,14,302.0,-14
135.0,12,186.0,4.894736842105263,6.485830486271506,12,12,326.0,0.26818564104521075,5.223062362441555,6.485830486271506,12,326.0,-12
