RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DoE-45, -, 180, 0.5, 0.9, 0.3, diff-waiting-time, -0.000, 6.112, 86.021, 0.386, 7.160, 8.243, 
1, DoE-46, -, 180, 0.5, 0.9, 0.3, average-speed-2, 3.820, 24.687, 1791.105, 0.206, 3.820, 5.339, 
1, DoE-47, -, 180, 0.5, 0.9, 0.4, diff-waiting-time, -0.000, 7.016, 104.694, 0.365, 6.788, 7.989, 
1, DoE-48, -, 180, 0.5, 0.9, 0.4, average-speed-2, 2.857, 33.371, 1157.926, 0.154, 2.857, 4.315, 
1, DoE-49, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.581, 441.992, 0.346, 6.423, 7.712, 
1, DoE-50, -, 180, 0.5, 0.99, 0.2, average-speed-2, 1.593, 74.040, 2416.468, 0.086, 1.593, 2.620, 
1, DoE-51, -, 180, 0.5, 0.99, 0.3, diff-waiting-time, -0.000, 7.377, 109.468, 0.361, 6.701, 7.909, 
1, DoE-52, -, 180, 0.5, 0.99, 0.3, average-speed-2, 3.523, 26.431, 2181.845, 0.190, 3.523, 5.018, 
1, DoE-53, -, 180, 0.5, 0.99, 0.4, diff-waiting-time, -0.000, 6.316, 85.383, 0.384, 7.128, 8.209, 
1, DoE-54, -, 180, 0.5, 0.99, 0.4, average-speed-2, 4.008, 20.549, 1491.811, 0.216, 4.008, 5.565, 
2, DoE-1, -, 280, 0.1, 0.8, 0.2, diff-waiting-time, -0.000, 6.706, 100.335, 0.376, 6.962, 8.118,
2, DoE-2, -, 280, 0.1, 0.8, 0.2, average-speed-2, 1.130, 90.930, 3376.507, 0.061, 1.130, 1.986,
2, DoE-3, -, 280, 0.1, 0.8, 0.3, diff-waiting-time, -0.000, 5.506, 82.161, 0.404, 7.510, 8.471,
2, DoE-4, -, 280, 0.1, 0.8, 0.3, average-speed-2, 2.736, 32.825, 1056.926, 0.147, 2.736, 4.237,
2, DoE-5, -, 280, 0.1, 0.8, 0.4, diff-waiting-time, -0.000, 6.657, 92.786, 0.377, 6.990, 8.110,
2, DoE-6, -, 280, 0.1, 0.8, 0.4, average-speed-2, 1.287, 69.781, 9679.912, 0.070, 1.287, 2.233,
2, DoE-7, -, 280, 0.1, 0.9, 0.2, diff-waiting-time, -0.000, 6.365, 87.535, 0.384, 7.133, 8.206,
2, DoE-8, -, 280, 0.1, 0.9, 0.2, average-speed-2, 3.570, 23.941, 1265.760, 0.192, 3.570, 5.156,
2, DoE-9, -, 280, 0.1, 0.9, 0.3, diff-waiting-time, -0.000, 6.449, 90.689, 0.381, 7.063, 8.164,
2, DoE-10, -, 280, 0.1, 0.9, 0.3, average-speed-2, 2.127, 44.366, 979.736, 0.114, 2.127, 3.471,
2, DoE-11, -, 280, 0.1, 0.9, 0.4, diff-waiting-time, 0.000, 6.545, 95.581, 0.379, 7.028, 8.164,
2, DoE-12, -, 280, 0.1, 0.9, 0.4, average-speed-2, 3.211, 32.034, 3024.154, 0.173, 3.211, 4.646,
2, DoE-13, -, 280, 0.1, 0.99, 0.2, diff-waiting-time, 0.000, 6.521, 95.096, 0.380, 7.063, 8.189,
2, DoE-14, -, 280, 0.1, 0.99, 0.2, average-speed-2, 1.056, 97.630, 3588.430, 0.057, 1.056, 1.864,
2, DoE-15, -, 280, 0.1, 0.99, 0.3, diff-waiting-time, -0.000, 6.353, 89.486, 0.380, 7.057, 8.168,
2, DoE-16, -, 280, 0.1, 0.99, 0.3, average-speed-2, 4.026, 20.161, 1556.660, 0.217, 4.026, 5.604,
2, DoE-17, -, 280, 0.1, 0.99, 0.4, diff-waiting-time, 0.000, 6.516, 94.954, 0.381, 7.065, 8.190,
2, DoE-18, -, 280, 0.1, 0.99, 0.4, average-speed-2, 1.425, 80.905, 2869.019, 0.077, 1.425, 2.394,
2, DoE-19, -, 280, 0.3, 0.8, 0.2, diff-waiting-time, -0.000, 6.731, 96.349, 0.372, 6.918, 8.069,
2, DoE-20, -, 280, 0.3, 0.8, 0.2, average-speed-2, 2.000, 74.355, 5366.831, 0.108, 2.000, 3.075,
2, DoE-21, -, 280, 0.3, 0.8, 0.3, diff-waiting-time, -0.000, 6.862, 100.140, 0.371, 6.884, 8.051,
2, DoE-22, -, 280, 0.3, 0.8, 0.3, average-speed-2, 1.738, 55.800, 1475.102, 0.094, 1.738, 2.922,
2, DoE-23, -, 280, 0.3, 0.8, 0.4, diff-waiting-time, -0.000, 6.287, 91.259, 0.384, 7.153, 8.223,
2, DoE-24, -, 280, 0.3, 0.8, 0.4, average-speed-2, 2.421, 48.701, 6188.091, 0.131, 2.421, 3.689,
2, DoE-25, -, 280, 0.3, 0.9, 0.2, diff-waiting-time, -0.000, 6.225, 82.905, 0.385, 7.155, 8.226,
2, DoE-26, -, 280, 0.3, 0.9, 0.2, average-speed-2, 2.941, 35.977, 3580.080, 0.158, 2.941, 4.336,
2, DoE-27, -, 280, 0.3, 0.9, 0.3, diff-waiting-time, -0.000, 6.795, 96.952, 0.373, 6.924, 8.079,
2, DoE-28, -, 280, 0.3, 0.9, 0.3, average-speed-2, 3.954, 21.426, 1703.742, 0.213, 3.954, 5.500,
2, DoE-29, -, 280, 0.3, 0.9, 0.4, diff-waiting-time, -0.000, 6.453, 88.374, 0.381, 7.060, 8.163,
2, DoE-30, -, 280, 0.3, 0.9, 0.4, average-speed-2, 3.928, 21.835, 1162.373, 0.211, 3.928, 5.501,
2, DoE-31, -, 280, 0.3, 0.99, 0.2, diff-waiting-time, -0.000, 6.201, 91.815, 0.383, 7.125, 8.206,
2, DoE-32, -, 280, 0.3, 0.99, 0.2, average-speed-2, 3.385, 29.854, 2803.665, 0.182, 3.385, 4.831,
2, DoE-33, -, 280, 0.3, 0.99, 0.3, diff-waiting-time, -0.000, 6.648, 93.038, 0.377, 6.995, 8.113,
2, DoE-34, -, 280, 0.3, 0.99, 0.3, average-speed-2, 1.118, 96.792, 14990.240, 0.060, 1.118, 1.857,
2, DoE-35, -, 280, 0.3, 0.99, 0.4, diff-waiting-time, -0.000, 12.649, 596.851, 0.276, 5.121, 6.655,
2, DoE-36, -, 280, 0.3, 0.99, 0.4, average-speed-2, 5.736, 10.734, 549.497, 0.309, 5.736, 7.195,
2, DoE-37, -, 280, 0.5, 0.8, 0.2, diff-waiting-time, -0.000, 6.644, 92.454, 0.377, 6.997, 8.115,
2, DoE-38, -, 280, 0.5, 0.8, 0.2, average-speed-2, 3.537, 25.572, 2026.550, 0.190, 3.537, 5.044,
2, DoE-39, -, 280, 0.5, 0.8, 0.3, diff-waiting-time, -0.000, 8.790, 140.740, 0.333, 6.183, 7.541,
2, DoE-40, -, 280, 0.5, 0.8, 0.3, average-speed-2, 3.478, 26.058, 1903.400, 0.187, 3.478, 4.995,
2, DoE-41, -, 280, 0.5, 0.8, 0.4, diff-waiting-time, -0.000, 8.073, 128.618, 0.344, 6.390, 7.703,
2, DoE-42, -, 280, 0.5, 0.8, 0.4, average-speed-2, 4.080, 19.593, 1126.403, 0.220, 4.080, 5.673,
2, DoE-43, -, 280, 0.5, 0.9, 0.2, diff-waiting-time, -0.000, 7.396, 109.842, 0.360, 6.699, 7.911,
2, DoE-44, -, 280, 0.5, 0.9, 0.2, average-speed-2, 4.468, 17.803, 1412.074, 0.241, 4.468, 6.000,
2, DoE-45, -, 280, 0.5, 0.9, 0.3, diff-waiting-time, -0.000, 8.073, 128.618, 0.344, 6.390, 7.703,
2, DoE-46, -, 280, 0.5, 0.9, 0.3, average-speed-2, 2.929, 29.502, 678.614, 0.158, 2.929, 4.468,
2, DoE-47, -, 280, 0.5, 0.9, 0.4, diff-waiting-time, -0.000, 7.305, 107.544, 0.362, 6.721, 7.934,
2, DoE-48, -, 280, 0.5, 0.9, 0.4, average-speed-2, 3.358, 28.547, 2420.880, 0.181, 3.358, 4.832,
2, DoE-49, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.953, 151.452, 0.328, 6.095, 7.485,
2, DoE-50, -, 280, 0.5, 0.99, 0.2, average-speed-2, 3.356, 27.931, 1949.075, 0.181, 3.356, 4.840,
2, DoE-51, -, 280, 0.5, 0.99, 0.3, diff-waiting-time, -0.000, 8.005, 439.808, 0.356, 6.600, 7.845,
2, DoE-52, -, 280, 0.5, 0.99, 0.3, average-speed-2, 3.747, 22.607, 1729.275, 0.202, 3.747, 5.292,
2, DoE-53, -, 280, 0.5, 0.99, 0.4, diff-waiting-time, -0.001, 8.459, 450.035, 0.345, 6.404, 7.710,
2, DoE-54, -, 280, 0.5, 0.99, 0.4, average-speed-2, 6.277, 9.078, 494.343, 0.338, 6.277, 7.595,
3, DoE-1, -, 380, 0.1, 0.8, 0.2, diff-waiting-time, -0.000, 6.364, 90.054, 0.380, 7.057, 8.163,
3, DoE-2, -, 380, 0.1, 0.8, 0.2, average-speed-2, 1.600, 73.896, 3596.715, 0.086, 1.600, 2.630,
3, DoE-3, -, 380, 0.1, 0.8, 0.3, diff-waiting-time, -0.000, 8.788, 140.681, 0.333, 6.183, 7.543,
3, DoE-4, -, 380, 0.1, 0.8, 0.3, average-speed-2, 1.524, 75.655, 3988.042, 0.082, 1.524, 2.545,
3, DoE-5, -, 380, 0.1, 0.8, 0.4, diff-waiting-time, -0.000, 6.698, 93.831, 0.375, 6.968, 8.094,
3, DoE-6, -, 380, 0.1, 0.8, 0.4, average-speed-2, 3.806, 22.097, 800.317, 0.205, 3.806, 5.404,
3, DoE-7, -, 380, 0.1, 0.9, 0.2, diff-waiting-time, -0.000, 7.358, 107.600, 0.361, 6.706, 7.921,
3, DoE-8, -, 380, 0.1, 0.9, 0.2, average-speed-2, 1.133, 94.562, 1187096.432, 0.061, 1.133, 1.890,
3, DoE-9, -, 380, 0.1, 0.9, 0.3, diff-waiting-time, -0.000, 8.035, 127.802, 0.345, 6.407, 7.716,
3, DoE-10, -, 380, 0.1, 0.9, 0.3, average-speed-2, 4.228, 18.134, 1101.203, 0.228, 4.228, 5.829,
3, DoE-11, -, 380, 0.1, 0.9, 0.4, diff-waiting-time, -0.000, 9.788, 164.298, 0.317, 5.881, 7.309,
3, DoE-12, -, 380, 0.1, 0.9, 0.4, average-speed-2, 1.091, 97.682, 4308.857, 0.059, 1.091, 1.896,
3, DoE-13, -, 380, 0.1, 0.99, 0.2, diff-waiting-time, -0.000, 5.603, 70.019, 0.400, 7.440, 8.411,
3, DoE-14, -, 380, 0.1, 0.99, 0.2, average-speed-2, 4.018, 20.368, 1382.959, 0.216, 4.018, 5.593,
3, DoE-15, -, 380, 0.1, 0.99, 0.3, diff-waiting-time, -0.000, 6.768, 103.219, 0.374, 6.945, 8.078,
3, DoE-16, -, 380, 0.1, 0.99, 0.3, average-speed-2, 3.391, 27.872, 2229.826, 0.182, 3.391, 4.875,
3, DoE-17, -, 380, 0.1, 0.99, 0.4, diff-waiting-time, -0.000, 8.275, 408.472, 0.351, 6.514, 7.779,
3, DoE-18, -, 380, 0.1, 0.99, 0.4, average-speed-2, 3.820, 22.624, 1575.388, 0.206, 3.820, 5.364,
3, DoE-19, -, 380, 0.3, 0.8, 0.2, diff-waiting-time, -0.000, 8.308, 413.792, 0.350, 6.500, 7.770,
3, DoE-20, -, 380, 0.3, 0.8, 0.2, average-speed-2, 3.289, 30.364, 2695.521, 0.177, 3.289, 4.749,
3, DoE-21, -, 380, 0.3, 0.8, 0.3, diff-waiting-time, -0.000, 6.245, 83.344, 0.384, 7.145, 8.218,
3, DoE-22, -, 380, 0.3, 0.8, 0.3, average-speed-2, 2.744, 37.495, 2274.212, 0.148, 2.744, 4.143,
3, DoE-23, -, 380, 0.3, 0.8, 0.4, diff-waiting-time, -0.000, 6.435, 87.872, 0.381, 7.075, 8.176,
3, DoE-24, -, 380, 0.3, 0.8, 0.4, average-speed-2, 2.325, 42.678, 1420.692, 0.125, 2.325, 3.676,
3, DoE-25, -, 380, 0.3, 0.9, 0.2, diff-waiting-time, -0.000, 7.087, 108.381, 0.367, 6.821, 8.024,
3, DoE-26, -, 380, 0.3, 0.9, 0.2, average-speed-2, 4.448, 21.163, 1745.868, 0.240, 4.448, 5.887,
3, DoE-27, -, 380, 0.3, 0.9, 0.3, diff-waiting-time, -0.000, 6.350, 90.196, 0.379, 7.058, 8.167,
3, DoE-28, -, 380, 0.3, 0.9, 0.3, average-speed-2, 1.872, 51.390, 1164.732, 0.101, 1.872, 3.120,
3, DoE-29, -, 380, 0.3, 0.9, 0.4, diff-waiting-time, -0.000, 7.834, 132.775, 0.352, 6.538, 7.751,
3, DoE-30, -, 380, 0.3, 0.9, 0.4, average-speed-2, 6.479, 7.916, 129.191, 0.349, 6.479, 7.764,
3, DoE-31, -, 380, 0.3, 0.99, 0.2, diff-waiting-time, -0.000, 7.130, 110.036, 0.367, 6.803, 8.010,
3, DoE-32, -, 380, 0.3, 0.99, 0.2, average-speed-2, 3.783, 24.469, 2029.327, 0.204, 3.783, 5.278,
3, DoE-33, -, 380, 0.3, 0.99, 0.3, diff-waiting-time, -0.000, 8.441, 403.884, 0.348, 6.452, 7.734,
3, DoE-34, -, 380, 0.3, 0.99, 0.3, average-speed-2, 1.569, 69.671, 2706.661, 0.085, 1.569, 2.610,
3, DoE-35, -, 380, 0.3, 0.99, 0.4, diff-waiting-time, -0.000, 7.052, 104.241, 0.367, 6.809, 7.998,
3, DoE-36, -, 380, 0.3, 0.99, 0.4, average-speed-2, 4.040, 20.481, 1612.403, 0.218, 4.040, 5.594,
3, DoE-37, -, 380, 0.5, 0.8, 0.2, diff-waiting-time, -0.000, 6.223, 82.836, 0.385, 7.154, 8.225,
3, DoE-38, -, 380, 0.5, 0.8, 0.2, average-speed-2, 1.953, 56.790, 3317.698, 0.105, 1.953, 3.138,
3, DoE-39, -, 380, 0.5, 0.8, 0.3, diff-waiting-time, 0.000, 5.652, 76.384, 0.394, 7.341, 8.350,
3, DoE-40, -, 380, 0.5, 0.8, 0.3, average-speed-2, 3.533, 25.733, 2090.572, 0.190, 3.533, 5.041,
3, DoE-41, -, 380, 0.5, 0.8, 0.4, diff-waiting-time, -0.000, 5.793, 79.015, 0.392, 7.298, 8.318,
3, DoE-42, -, 380, 0.5, 0.8, 0.4, average-speed-2, 4.283, 17.870, 438.484, 0.231, 4.283, 5.903,
3, DoE-43, -, 380, 0.5, 0.9, 0.2, diff-waiting-time, -0.000, 6.433, 88.156, 0.381, 7.066, 8.170,
3, DoE-44, -, 380, 0.5, 0.9, 0.2, average-speed-2, 6.162, 9.324, 510.865, 0.332, 6.162, 7.534,
