RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
3, DoE-13, -, 380, 0.1, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.499, 5.603 +/- 1.455, 70.019 +/- 36.366, 0.400 +/- 0.055, 7.440 +/- 0.970, 8.411 +/- 0.618, 
3, DoE-14, -, 380, 0.1, 0.99, 0.2, average-speed-2, 4.018 +/- 0.928, 20.368 +/- 6.703, 1382.959 +/- 1032.092, 0.216 +/- 0.051, 4.018 +/- 0.928, 5.593 +/- 1.040, 
3, DoE-15, -, 380, 0.1, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.590, 6.768 +/- 1.437, 103.219 +/- 83.552, 0.374 +/- 0.048, 6.945 +/- 0.869, 8.078 +/- 0.564, 
3, DoE-16, -, 380, 0.1, 0.99, 0.3, average-speed-2, 3.391 +/- 1.144, 27.872 +/- 11.787, 2229.826 +/- 1819.639, 0.182 +/- 0.062, 3.391 +/- 1.144, 4.875 +/- 1.408, 
3, DoE-17, -, 380, 0.1, 0.99, 0.4, diff-waiting-time, -0.000 +/- 1.257, 8.275 +/- 1.783, 408.472 +/- 276.180, 0.351 +/- 0.049, 6.514 +/- 0.891, 7.779 +/- 0.635, 
3, DoE-18, -, 380, 0.1, 0.99, 0.4, average-speed-2, 3.820 +/- 1.071, 22.624 +/- 8.579, 1575.388 +/- 1179.993, 0.206 +/- 0.059, 3.820 +/- 1.071, 5.364 +/- 1.223, 
3, DoE-19, -, 380, 0.3, 0.8, 0.2, diff-waiting-time, -0.000 +/- 1.265, 8.308 +/- 1.782, 413.792 +/- 279.859, 0.350 +/- 0.048, 6.500 +/- 0.881, 7.770 +/- 0.631, 
3, DoE-20, -, 380, 0.3, 0.8, 0.2, average-speed-2, 3.289 +/- 1.225, 30.364 +/- 14.924, 2695.521 +/- 2760.421, 0.177 +/- 0.067, 3.289 +/- 1.225, 4.749 +/- 1.483, 
3, DoE-21, -, 380, 0.3, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.525, 6.245 +/- 1.596, 83.344 +/- 34.962, 0.384 +/- 0.046, 7.145 +/- 0.813, 8.218 +/- 0.549, 
3, DoE-22, -, 380, 0.3, 0.8, 0.3, average-speed-2, 2.744 +/- 1.106, 37.495 +/- 14.422, 2274.212 +/- 1763.506, 0.148 +/- 0.060, 2.744 +/- 1.106, 4.143 +/- 1.283, 
3, DoE-23, -, 380, 0.3, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.544, 6.435 +/- 1.364, 87.872 +/- 39.333, 0.381 +/- 0.052, 7.075 +/- 0.908, 8.176 +/- 0.586, 
3, DoE-24, -, 380, 0.3, 0.8, 0.4, average-speed-2, 2.325 +/- 0.872, 42.678 +/- 9.883, 1420.692 +/- 710.021, 0.125 +/- 0.047, 2.325 +/- 0.872, 3.676 +/- 0.896, 
3, DoE-25, -, 380, 0.3, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.596, 7.087 +/- 1.553, 108.381 +/- 57.306, 0.367 +/- 0.057, 6.821 +/- 1.008, 8.024 +/- 0.630, 
3, DoE-26, -, 380, 0.3, 0.9, 0.2, average-speed-2, 4.448 +/- 1.700, 21.163 +/- 16.068, 1745.868 +/- 2766.516, 0.240 +/- 0.092, 4.448 +/- 1.700, 5.887 +/- 1.703, 
3, DoE-27, -, 380, 0.3, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.556, 6.350 +/- 1.477, 90.196 +/- 43.794, 0.379 +/- 0.052, 7.058 +/- 0.912, 8.167 +/- 0.559, 
3, DoE-28, -, 380, 0.3, 0.9, 0.3, average-speed-2, 1.872 +/- 0.548, 51.390 +/- 7.171, 1164.732 +/- 595.421, 0.101 +/- 0.030, 1.872 +/- 0.548, 3.120 +/- 0.457, 
3, DoE-29, -, 380, 0.3, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.652, 7.834 +/- 1.976, 132.775 +/- 69.842, 0.352 +/- 0.059, 6.538 +/- 1.040, 7.751 +/- 0.843, 
3, DoE-30, -, 380, 0.3, 0.9, 0.4, average-speed-2, 6.479 +/- 0.961, 7.916 +/- 2.127, 129.191 +/- 80.210, 0.349 +/- 0.054, 6.479 +/- 0.961, 7.764 +/- 0.586, 
3, DoE-31, -, 380, 0.3, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.599, 7.130 +/- 1.692, 110.036 +/- 51.641, 0.367 +/- 0.063, 6.803 +/- 1.110, 8.010 +/- 0.679, 
3, DoE-32, -, 380, 0.3, 0.99, 0.2, average-speed-2, 3.783 +/- 1.267, 24.469 +/- 11.317, 2029.327 +/- 1743.947, 0.204 +/- 0.069, 3.783 +/- 1.267, 5.278 +/- 1.464, 
3, DoE-33, -, 380, 0.3, 0.99, 0.3, diff-waiting-time, -0.000 +/- 1.241, 8.441 +/- 1.707, 403.884 +/- 264.067, 0.348 +/- 0.046, 6.452 +/- 0.847, 7.734 +/- 0.617, 
3, DoE-34, -, 380, 0.3, 0.99, 0.3, average-speed-2, 1.569 +/- 0.814, 69.671 +/- 17.743, 2706.661 +/- 1259.087, 0.085 +/- 0.044, 1.569 +/- 0.814, 2.610 +/- 0.981, 
3, DoE-35, -, 380, 0.3, 0.99, 0.4, diff-waiting-time, -0.000 +/- 0.589, 7.052 +/- 1.486, 104.241 +/- 49.640, 0.367 +/- 0.053, 6.809 +/- 0.935, 7.998 +/- 0.573, 
3, DoE-36, -, 380, 0.3, 0.99, 0.4, average-speed-2, 4.040 +/- 1.008, 20.481 +/- 6.534, 1612.403 +/- 1037.286, 0.218 +/- 0.056, 4.040 +/- 1.008, 5.594 +/- 1.124, 
3, DoE-37, -, 380, 0.5, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.523, 6.223 +/- 1.599, 82.836 +/- 34.345, 0.385 +/- 0.046, 7.154 +/- 0.811, 8.225 +/- 0.547, 
3, DoE-38, -, 380, 0.5, 0.8, 0.2, average-speed-2, 1.953 +/- 0.919, 56.790 +/- 15.689, 3317.698 +/- 1954.582, 0.105 +/- 0.049, 1.953 +/- 0.919, 3.138 +/- 1.115, 
3, DoE-39, -, 380, 0.5, 0.8, 0.3, diff-waiting-time, 0.000 +/- 0.510, 5.652 +/- 1.363, 76.384 +/- 44.321, 0.394 +/- 0.059, 7.341 +/- 1.037, 8.350 +/- 0.656, 
3, DoE-40, -, 380, 0.5, 0.8, 0.3, average-speed-2, 3.533 +/- 1.089, 25.733 +/- 9.832, 2090.572 +/- 1603.369, 0.190 +/- 0.059, 3.533 +/- 1.089, 5.041 +/- 1.329, 
3, DoE-41, -, 380, 0.5, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.528, 5.793 +/- 1.363, 79.015 +/- 45.283, 0.392 +/- 0.054, 7.298 +/- 0.954, 8.318 +/- 0.603, 
3, DoE-42, -, 380, 0.5, 0.8, 0.4, average-speed-2, 4.283 +/- 0.950, 17.870 +/- 5.929, 438.484 +/- 452.719, 0.231 +/- 0.053, 4.283 +/- 0.950, 5.903 +/- 0.815, 
3, DoE-43, -, 380, 0.5, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.544, 6.433 +/- 1.307, 88.156 +/- 39.157, 0.381 +/- 0.052, 7.066 +/- 0.906, 8.170 +/- 0.596, 
3, DoE-44, -, 380, 0.5, 0.9, 0.2, average-speed-2, 6.162 +/- 0.780, 9.324 +/- 1.788, 510.865 +/- 331.197, 0.332 +/- 0.044, 6.162 +/- 0.780, 7.534 +/- 0.567, 
3, DoE-45, -, 380, 0.5, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.589, 7.052 +/- 1.486, 104.241 +/- 49.640, 0.367 +/- 0.053, 6.809 +/- 0.935, 7.998 +/- 0.573, 
3, DoE-46, -, 380, 0.5, 0.9, 0.3, average-speed-2, 3.624 +/- 1.057, 24.552 +/- 8.902, 1954.328 +/- 1392.494, 0.195 +/- 0.058, 3.624 +/- 1.057, 5.145 +/- 1.312, 
3, DoE-47, -, 380, 0.5, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.745, 8.992 +/- 2.051, 153.354 +/- 81.876, 0.328 +/- 0.050, 6.074 +/- 0.876, 7.479 +/- 0.573, 
3, DoE-48, -, 380, 0.5, 0.9, 0.4, average-speed-2, 3.534 +/- 1.130, 26.381 +/- 12.343, 2227.826 +/- 2110.092, 0.190 +/- 0.062, 3.534 +/- 1.130, 5.036 +/- 1.381, 
3, DoE-49, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 1.296, 8.407 +/- 1.819, 433.583 +/- 294.848, 0.346 +/- 0.049, 6.424 +/- 0.905, 7.689 +/- 0.663, 
3, DoE-50, -, 380, 0.5, 0.99, 0.2, average-speed-2, 2.930 +/- 1.297, 36.119 +/- 16.163, 3452.285 +/- 2919.380, 0.158 +/- 0.071, 2.930 +/- 1.297, 4.320 +/- 1.541, 
3, DoE-51, -, 380, 0.5, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.591, 7.084 +/- 1.466, 104.973 +/- 49.413, 0.366 +/- 0.052, 6.794 +/- 0.925, 7.987 +/- 0.566, 
3, DoE-52, -, 380, 0.5, 0.99, 0.3, average-speed-2, 1.230 +/- 0.412, 83.318 +/- 8.313, 2975.232 +/- 1161.435, 0.066 +/- 0.022, 1.230 +/- 0.412, 2.148 +/- 0.410, 
3, DoE-53, -, 380, 0.5, 0.99, 0.4, diff-waiting-time, -0.000 +/- 0.532, 6.259 +/- 1.389, 83.288 +/- 39.354, 0.385 +/- 0.052, 7.151 +/- 0.907, 8.226 +/- 0.589, 
3, DoE-54, -, 380, 0.5, 0.99, 0.4, average-speed-2, 5.119 +/- 0.831, 12.945 +/- 3.791, 296.608 +/- 381.792, 0.276 +/- 0.046, 5.119 +/- 0.831, 6.678 +/- 0.692, 
