RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
2, DoE-1, -, 280, 0.1, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.576, 6.706 +/- 1.397, 100.335 +/- 51.070, 0.376 +/- 0.061, 6.962 +/- 1.069, 8.118 +/- 0.640, 
2, DoE-2, -, 280, 0.1, 0.8, 0.2, average-speed-2, 1.130 +/- 0.438, 90.930 +/- 9.225, 3376.507 +/- 1078.773, 0.061 +/- 0.024, 1.130 +/- 0.438, 1.986 +/- 0.437, 
2, DoE-3, -, 280, 0.1, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.551, 5.506 +/- 1.511, 82.161 +/- 98.507, 0.404 +/- 0.057, 7.510 +/- 1.046, 8.471 +/- 0.662, 
2, DoE-4, -, 280, 0.1, 0.8, 0.3, average-speed-2, 2.736 +/- 0.575, 32.825 +/- 6.880, 1056.926 +/- 1127.800, 0.147 +/- 0.033, 2.736 +/- 0.575, 4.237 +/- 0.606, 
2, DoE-5, -, 280, 0.1, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.554, 6.657 +/- 1.410, 92.786 +/- 40.804, 0.377 +/- 0.049, 6.990 +/- 0.881, 8.110 +/- 0.571, 
2, DoE-6, -, 280, 0.1, 0.8, 0.4, average-speed-2, 1.287 +/- 0.448, 69.781 +/- 7.021, 9679.912 +/- 8227.253, 0.070 +/- 0.024, 1.287 +/- 0.448, 2.233 +/- 0.469, 
2, DoE-7, -, 280, 0.1, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.544, 6.365 +/- 1.488, 87.535 +/- 38.995, 0.384 +/- 0.051, 7.133 +/- 0.934, 8.206 +/- 0.619, 
2, DoE-8, -, 280, 0.1, 0.9, 0.2, average-speed-2, 3.570 +/- 0.906, 23.941 +/- 8.796, 1265.760 +/- 1548.296, 0.192 +/- 0.050, 3.570 +/- 0.906, 5.156 +/- 0.978, 
2, DoE-9, -, 280, 0.1, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.554, 6.449 +/- 1.328, 90.689 +/- 56.768, 0.381 +/- 0.052, 7.063 +/- 0.909, 8.164 +/- 0.599, 
2, DoE-10, -, 280, 0.1, 0.9, 0.3, average-speed-2, 2.127 +/- 0.513, 44.366 +/- 6.605, 979.736 +/- 384.769, 0.114 +/- 0.028, 2.127 +/- 0.513, 3.471 +/- 0.434, 
2, DoE-11, -, 280, 0.1, 0.9, 0.4, diff-waiting-time, 0.000 +/- 0.568, 6.545 +/- 1.365, 95.581 +/- 47.837, 0.379 +/- 0.059, 7.028 +/- 1.031, 8.164 +/- 0.647, 
2, DoE-12, -, 280, 0.1, 0.9, 0.4, average-speed-2, 3.211 +/- 1.277, 32.034 +/- 16.672, 3024.154 +/- 3388.207, 0.173 +/- 0.069, 3.211 +/- 1.277, 4.646 +/- 1.557, 
2, DoE-13, -, 280, 0.1, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.565, 6.521 +/- 1.388, 95.096 +/- 47.955, 0.380 +/- 0.059, 7.063 +/- 1.056, 8.189 +/- 0.647, 
2, DoE-14, -, 280, 0.1, 0.99, 0.2, average-speed-2, 1.056 +/- 0.429, 97.630 +/- 9.013, 3588.430 +/- 1412.739, 0.057 +/- 0.023, 1.056 +/- 0.429, 1.864 +/- 0.425, 
