RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
5, DoE-45, -, 580, 0.5, 0.9, 0.3, diff-waiting-time, 0.000, 6.514, 94.890, 0.381, 7.065, 8.191, 
5, DoE-46, -, 580, 0.5, 0.9, 0.3, average-speed-2, 2.509, 41.171, 2898.417, 0.135, 2.509, 3.858, 
5, DoE-47, -, 580, 0.5, 0.9, 0.4, diff-waiting-time, -0.000, 6.202, 82.822, 0.386, 7.174, 8.237, 
5, DoE-48, -, 580, 0.5, 0.9, 0.4, average-speed-2, 2.862, 34.793, 2344.146, 0.154, 2.862, 4.290, 
5, DoE-49, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.788, 140.773, 0.333, 6.183, 7.541, 
5, DoE-50, -, 580, 0.5, 0.99, 0.2, average-speed-2, 3.596, 22.121, 565.037, 0.193, 3.596, 5.228, 
5, DoE-51, -, 580, 0.5, 0.99, 0.3, diff-waiting-time, -0.000, 8.163, 126.350, 0.345, 6.404, 7.702, 
5, DoE-52, -, 580, 0.5, 0.99, 0.3, average-speed-2, 3.859, 22.085, 1828.678, 0.208, 3.859, 5.395, 
5, DoE-53, -, 580, 0.5, 0.99, 0.4, diff-waiting-time, -0.000, 6.416, 86.665, 0.381, 7.079, 8.174, 
5, DoE-54, -, 580, 0.5, 0.99, 0.4, average-speed-2, 2.755, 31.931, 688.157, 0.149, 2.755, 4.268, 
