RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,4.084,50.045,0.405,7.499,8.47,3136.199,87.615,1.348,60.97,2575.531,60.459,1.107,61.501,  
2,  testing,6.649,499.98,0.346,6.398,7.701,3055.723,99.624,1.314,60.257,2605.754,70.929,1.12,61.01,  
3,  testing,4.657,64.638,0.387,7.162,8.273,3113.953,91.025,1.339,60.759,2594.272,63.121,1.115,61.377,  
4,  testing,9.622,837.071,0.295,5.472,6.956,3025.718,110.339,1.301,59.713,2616.061,80.624,1.125,60.555,  
5,  testing,4.374,77.462,0.4,7.39,8.393,3138.332,89.384,1.349,60.943,2604.137,62.172,1.119,61.47,  
,min,4.084,50.045,0.295,5.472,6.956,3025.718,87.615,1.301,59.713,2575.531,60.459,1.107,60.555,
,max,9.622,837.071,0.405,7.499,8.47,3138.332,110.339,1.349,60.97,2616.061,80.624,1.125,61.501,
,average,5.8772,305.8392,0.3666,6.7842,7.9586,3093.985,95.5974,1.3302,60.5284,2599.151,67.461,1.1172,61.1826,
,std,2.077655737,314.8532079,0.041369554,0.760484688,0.569323318,45.32496699,8.447013309,0.019301813,0.481376194,13.68295981,7.498382732,0.006013319,0.359288519,
1,  baseline,5.008,70.7,0.374,6.965,8.099,3137.075,94.717,1.349,60.768,2599.383,65.681,1.117,61.369,  
2,  baseline,5.527,82.195,0.359,6.688,7.914,3118.427,97.383,1.341,60.591,2603.749,68.014,1.119,61.258,  
3,  baseline,5.51,81.783,0.36,6.697,7.917,3122.157,97.274,1.342,60.589,2604.013,67.891,1.119,61.255,  
4,  baseline,5.059,71.631,0.373,6.945,8.086,3138.158,94.992,1.349,60.76,2602.228,65.935,1.119,61.365,  
5,  baseline,5.234,75.529,0.368,6.846,8.021,3130.506,95.861,1.346,60.692,2603.233,66.687,1.119,61.322,  
,min,5.008,70.7,0.359,6.688,7.914,3118.427,94.717,1.341,60.589,2599.383,65.681,1.117,61.255,
,max,5.527,82.195,0.374,6.965,8.099,3138.158,97.383,1.349,60.768,2604.013,68.014,1.119,61.369,
,average,5.2676,76.3676,0.3668,6.8282,8.0074,3129.2646,96.0454,1.3454,60.68,2602.5212,66.8416,1.1186,61.3138,
,std,0.218211457,4.869198439,0.006305553,0.117934558,0.079560292,7.869022013,1.114175318,0.003382307,0.078089692,1.683679589,0.966289729,0.0008,0.049612095,
