RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,  
5,std,0.03643405,0.835897266,3.47E-18,0.00116619,0.00116619,0.077904044,0.010707007,0,0.000748331,0.217840676,0.012877888,0,0.000894427,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
6,min,6.952,100.939,0.341,6.338,7.66,3077.453,94.687,1.323,60.31,2558.474,65.799,1.1,61.028,
6,max,8.789,443.842,0.372,6.89,8.047,3127.02,100.931,1.344,60.691,2576.195,70.921,1.107,61.295,
6,average,7.7214,179.5152,0.3558,6.598,7.8432,3105.0948,97.5088,1.3348,60.4996,2566.7666,68.166,1.1032,61.1666,
6,std,0.665542065,132.5042848,0.011685889,0.211383065,0.146745221,18.11661303,2.17412662,0.007678542,0.14277899,6.539607101,1.817385485,0.002785678,0.098708865,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
6,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
6,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
6,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
6,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
7,min,5.998,83.991,0.345,6.402,7.689,3080.424,91.308,1.324,60.346,2562.74,62.99,1.102,61.045,
7,max,8.434,502.647,0.388,7.212,8.281,3145.091,99.682,1.352,60.878,2584.995,70.273,1.111,61.429,
7,average,7.5862,320.057,0.3616,6.711,7.917,3111.236,96.7984,1.3374,60.5558,2573.7506,67.569,1.1064,61.1932,
7,std,1.002262321,178.6374921,0.017188368,0.317483228,0.226465891,22.0297937,3.479954804,0.009478396,0.207861877,8.394880954,2.895165418,0.003498571,0.143691893,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
7,min,124.038,2837.818,0.04,0.747,1.338,2551.239,147.277,1.097,56.354,2513.393,139.017,1.08,56.739,
7,max,128.991,2951.393,0.042,0.774,1.384,2553.986,147.51,1.098,56.375,2515.079,139.499,1.081,56.771,
7,average,127.0562,2907.5178,0.0408,0.7576,1.3558,2552.2328,147.4114,1.0972,56.3616,2513.9004,139.3042,1.0808,56.7504,
7,std,1.657075303,38.23948027,0.000748331,0.009243376,0.015904716,0.959110922,0.076227554,0.0004,0.007499333,0.609809019,0.16240862,0.0004,0.011534297,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
8,min,2.441,28.505,0.217,4.017,5.538,2938.227,84.085,1.263,58.773,2624.245,57.219,1.128,59.646,
8,max,11.521,1253.564,0.422,7.82,8.834,3116.154,126.131,1.34,61.026,2681.812,99.694,1.153,61.678,
8,average,4.7122,285.698,0.3582,6.6292,7.8398,3058.515,96.6996,1.3148,60.3238,2641.4024,69.5412,1.1354,61.0614,
8,std,3.426795261,484.1181705,0.072964101,1.350472125,1.18470003,62.40263545,15.12303719,0.026902788,0.802827603,21.18943209,15.40895801,0.009286549,0.730411829,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
8,min,2.428,28.068,0.397,7.34,8.523,3091.665,84.045,1.329,60.788,2627.236,57.366,1.129,61.508,
8,max,2.896,38.303,0.424,7.838,8.835,3114.217,88.797,1.339,61.098,2636.742,61.031,1.133,61.702,
8,average,2.6592,33.126,0.4106,7.5894,8.6776,3104.5616,86.4374,1.3348,60.9406,2633.4688,59.2036,1.132,61.6026,
8,std,0.17292935,3.765634714,0.009951884,0.183313502,0.115560547,9.425524592,1.761026814,0.004118252,0.113079795,3.277374217,1.357341313,0.001549193,0.071670356,
