RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,6.285,88.652,0.386,7.16,8.224,3136.781,91.936,1.348,60.846,2552.825,63.402,1.097,61.39,  
2,  testing,8.986,153.224,0.328,6.091,7.495,3062.995,101.551,1.317,60.115,2565.044,71.748,1.103,60.915,  
3,  testing,7.052,104.241,0.367,6.809,7.998,3116.327,95.424,1.34,60.623,2564.698,66.333,1.102,61.263,  
4,  testing,8.235,499.196,0.352,6.535,7.797,3105.106,99.247,1.335,60.443,2567.485,69.346,1.104,61.122,  
5,  testing,6.652,106.189,0.375,6.961,8.063,3111.174,93.293,1.337,60.706,2560.661,65.151,1.101,61.275,  
,min,6.285,88.652,0.328,6.091,7.495,3062.995,91.936,1.317,60.115,2552.825,63.402,1.097,60.915,
,max,8.986,499.196,0.386,7.16,8.224,3136.781,101.551,1.348,60.846,2567.485,71.748,1.104,61.39,
,average,7.442,190.3004,0.3616,6.7112,7.9154,3106.4766,96.2902,1.3354,60.5466,2562.1426,67.196,1.1014,61.193,
,std,1.012682971,155.9515927,0.020125606,0.37123599,0.250837477,24.2073571,3.608635498,0.010209799,0.252149638,5.14785853,2.988793536,0.002416609,0.162946617,
1,  baseline,144.193,3244.033,0.038,0.7,1.254,2538.971,147.459,1.091,56.327,2503.803,140.003,1.076,56.693,  
2,  baseline,144.034,3240.569,0.038,0.709,1.265,2540.032,147.373,1.092,56.333,2503.629,139.877,1.076,56.699,  
3,  baseline,144.046,3240.911,0.038,0.709,1.265,2540.131,147.381,1.092,56.335,2504.372,139.894,1.077,56.701,  
4,  baseline,143.948,3238.428,0.038,0.71,1.265,2540.098,147.373,1.092,56.334,2504.01,139.877,1.076,56.7,  
5,  baseline,143.98,3239.376,0.038,0.699,1.254,2538.882,147.46,1.091,56.326,2503.879,140,1.076,56.692,  
,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,
,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,
