RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,7.31,112.287,0.359,6.669,7.897,3117.492,96.729,1.34,60.555,2572.373,67.388,1.106,61.214,  
2,  testing,8.17,130.27,0.344,6.373,7.69,3077.453,98.89,1.323,60.36,2558.474,69.51,1.1,61.077,  
3,  testing,7.386,110.238,0.363,6.72,7.922,3112.249,96.307,1.338,60.582,2562.393,67.212,1.101,61.219,  
4,  testing,8.789,443.842,0.341,6.338,7.66,3091.26,100.931,1.329,60.31,2576.195,70.921,1.107,61.028,  
5,  testing,6.952,100.939,0.372,6.89,8.047,3127.02,94.687,1.344,60.691,2564.398,65.799,1.102,61.295,  
,min,6.952,100.939,0.341,6.338,7.66,3077.453,94.687,1.323,60.31,2558.474,65.799,1.1,61.028,
,max,8.789,443.842,0.372,6.89,8.047,3127.02,100.931,1.344,60.691,2576.195,70.921,1.107,61.295,
,average,7.7214,179.5152,0.3558,6.598,7.8432,3105.0948,97.5088,1.3348,60.4996,2566.7666,68.166,1.1032,61.1666,
,std,0.665542065,132.5042848,0.011685889,0.211383065,0.146745221,18.11661303,2.17412662,0.007678542,0.14277899,6.539607101,1.817385485,0.002785678,0.098708865,
1,  baseline,143,3219.868,0.038,0.704,1.262,2539.314,147.404,1.092,56.33,2503.107,139.887,1.076,56.697,  
2,  baseline,143.65,3234.483,0.038,0.705,1.26,2539.205,147.387,1.092,56.33,2502.833,139.891,1.076,56.696,  
3,  baseline,143.521,3231.695,0.038,0.704,1.26,2539.095,147.399,1.092,56.33,2503.305,139.916,1.076,56.697,  
4,  baseline,143.037,3220.403,0.038,0.704,1.262,2539.066,147.394,1.092,56.33,2503.184,139.885,1.076,56.697,  
5,  baseline,143.085,3221.752,0.038,0.705,1.262,2539.296,147.4,1.092,56.33,2502.992,139.883,1.076,56.697,  
,min,143,3219.868,0.038,0.704,1.26,2539.066,147.387,1.092,56.33,2502.833,139.883,1.076,56.696,
,max,143.65,3234.483,0.038,0.705,1.262,2539.314,147.404,1.092,56.33,2503.305,139.916,1.076,56.697,
,average,143.2586,3225.6402,0.038,0.7044,1.2612,2539.1952,147.3968,1.092,56.33,2503.0842,139.8924,1.076,56.6968,
,std,0.271354086,6.176088905,0,0.000489898,0.000979796,0.101096785,0.005844656,0,0,0.161762047,0.012092973,0,0.0004,
